position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-104,228,94,125,14.137563981115818,17.739121213555336,70.20470106601715
1,-95,219,85,123,33.58196564018726,49.01453056931496,151.79923737049103
2,-86,210,76,105,32.40923719853163,47.38516308367252,145.56090831756592
3,-71,195,61,81,38.412597104907036,43.381220266222954,135.16370058059692
4,-65,189,55,82,39.57257129997015,40.66374905407429,131.00481748580933
5,-60,184,50,66,41.081586971879005,40.92268046736717,127.53908157348633
6,-51,175,41,54,35.55381380021572,35.06254869699478,121.30075693130493
7,-31,155,21,47,31.25760717689991,30.629146866500378,107.43781328201294
8,-59,183,49,67,34.56668049097061,33.76658644527197,126.84593439102173
9,-37,161,27,41,32.484375,31.776833347976208,111.59669637680054
10,-38,162,28,51,32.109375,31.41663747280836,112.28984355926514
11,-46,170,36,54,32.734375,32.054677069187164,117.83502101898193
12,-37,161,27,38,30.1171875,29.50938457995653,111.59669637680054
13,-46,170,36,44,29.921875,29.31427028775215,117.83502101898193
14,-46,170,36,41,29.866705179214478,29.265454582870007,117.83502101898193
15,-37,161,27,36,29.66071690618992,29.157874904572964,111.59669637680054
16,-37,161,27,35,28.717543609440327,28.25827906653285,111.59669637680054
17,-30,154,20,30,26.92578337341547,26.491119012236595,106.74466609954834
18,-29,153,19,24,26.453125,26.022446118295193,106.05151891708374
19,-26,150,16,23,26.1484375,25.750858537852764,103.97207736968994
20,-28,152,18,20,25.984375,25.586098317056894,105.35837173461914
21,-23,147,13,17,24.1875,23.81485952436924,101.89263582229614
22,-34,158,24,30,25.90234375,25.512487016618252,109.51725482940674
23,-25,149,15,18,25.47265625,25.112163923680782,103.27893018722534
24,-20,144,10,19,23.59765625,23.261614870280027,99.81319427490234
25,-28,152,18,22,25.05859375,24.71257770061493,105.35837173461914
26,-22,146,12,21,22.99609375,22.670882880687714,101.19948863983154
27,-19,143,9,12,21.625,21.318145982921124,99.12004709243774
28,-24,148,14,18,23.84765625,23.528916992247105,102.58578300476074
29,-22,146,12,16,21.77734375,21.470040753483772,101.19948863983154
30,-17,141,7,10,22.33203125,22.05121660232544,97.73375272750854
31,-19,143,9,12,21.15234375,20.882746540009975,99.12004709243774
32,-20,144,10,14,20.125,19.865206327289343,99.81319427490234
33,-15,139,5,6,20.99609375,20.749270111322403,96.34745836257935
34,-22,146,12,14,21.10546875,20.852826949208975,101.19948863983154
35,-19,143,9,12,21.73046875,21.489551179111004,99.12004709243774
36,-14,138,4,5,20.71484375,20.48453500494361,95.65431118011475
37,-20,144,10,12,20.51171875,20.272486303001642,99.81319427490234
38,-21,145,11,14,20.578125,20.346949107944965,100.50634145736694
39,-18,142,8,8,20.09765625,19.874538596719503,98.42689990997314
40,-16,140,6,7,19.72265625,19.506453696638346,97.04060554504395
41,-19,143,9,13,20.2265625,20.01324427500367,99.12004709243774
42,-18,142,8,8,18.98828125,18.776973143219948,98.42689990997314
43,-14,138,4,5,17.88671875,17.68826761469245,95.65431118011475
44,-14,138,4,6,19.5234375,19.33406001329422,95.65431118011475
45,-13,137,3,3,18.6171875,18.433970641344786,94.96116399765015
46,-13,137,3,5,17.62890625,17.449556324630976,94.96116399765015
47,-15,139,5,6,18.16796875,17.989624863490462,96.34745836257935
48,-12,136,2,3,18.04296875,17.862479776144028,94.26801681518555
49,-17,141,7,9,19.5859375,19.403560925275087,97.73375272750854
50,-16,140,6,8,18.25390625,18.078067395836115,97.04060554504395
51,-14,138,4,5,17.42578125,17.245870929211378,95.65431118011475
52,-15,139,5,5,17.183594927191734,17.004078021273017,96.34745836257935
53,-12,136,2,3,17.5078125,17.340316358953714,94.26801681518555
54,-14,138,4,4,17.12109375,16.953359365463257,95.65431118011475
55,-12,136,2,3,17.16015625,17.001865785568953,94.26801681518555
56,-11,135,1,2,18.3046875,18.149386528879404,93.57486963272095
57,-13,137,3,6,17.80078125,17.65081424638629,94.96116399765015
58,-14,138,4,4,15.71484375,15.564666360616684,95.65431118011475
59,-11,135,1,3,16.58203125,16.436649441719055,93.57486963272095
60,-14,138,4,4,17.9140625,17.766616750508547,95.65431118011475
61,-11,135,1,1,17.5703125,17.43365455418825,93.57486963272095
62,-12,136,2,2,15.1328125,14.986090067774057,94.26801681518555
63,-12,136,2,3,15.953125,15.808561503887177,94.26801681518555
64,-12,136,2,2,16.9765625,16.839408949017525,94.26801681518555
65,-11,135,1,5,15.28125,15.147155292332172,93.57486963272095
66,-13,137,3,3,16.19140625,16.061778059229255,94.96116399765015
67,-16,140,6,6,17.07427566125989,16.94340716022998,97.04060554504395
68,-10,134,0,0,13.6796875,13.561671976931393,92.88172245025635
69,-10,134,0,0,15.98046875,15.866938712075353,92.88172245025635
70,-11,135,1,1,14.41796875,14.308563236147165,93.57486963272095
71,-13,137,3,4,13.30859375,13.210892224684358,94.96116399765015
72,-14,138,4,4,14.73828125,14.642083054408431,95.65431118011475
73,-11,135,1,1,12.96875,12.871960802003741,93.57486963272095
74,-12,136,2,4,15.25390625,15.163569211028516,94.26801681518555
75,-11,135,1,1,16.03125,15.94708956964314,93.57486963272095
76,-15,139,5,6,14.9765625,14.890201629139483,96.34745836257935
77,-11,135,1,1,13.921875,13.841985276900232,93.57486963272095
78,-14,138,4,5,14.01953125,13.940606456249952,95.65431118011475
79,-10,134,0,0,13.90234375,13.831310983281583,92.88172245025635
80,-11,135,1,1,12.890625,12.823821269907057,93.57486963272095
81,-12,136,2,2,13.03515625,12.97361905965954,94.26801681518555
82,-10,134,0,1,13.27734375,13.222166399937123,92.88172245025635
83,-11,135,1,1,13.6171875,13.559537208639085,93.57486963272095
84,-11,135,1,1,11.453125,11.396503345109522,93.57486963272095
85,-10,134,0,0,11.55078125,11.496574665652588,92.88172245025635
86,-10,134,0,0,12.6171875,12.56888047978282,92.88172245025635
87,-11,135,1,3,12.515625,12.463864367920905,93.57486963272095
88,-11,135,1,2,12.5,12.45420692069456,93.57486963272095
89,-10,134,0,1,11.32421875,11.279148934409022,92.88172245025635
90,-14,138,4,4,12.125,12.082902325317264,95.65431118011475
91,-11,135,1,1,12.0703125,12.030136151352053,93.57486963272095
92,-11,135,1,1,12.40234375,12.364446434061392,93.57486963272095
