position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,243,298,157,204,46.28269135951996,29.225878335535526,117.8117288351059
1,318,236,82,124,275.01863089203835,244.7371467575431,144.1100718975067
2,303,233,97,125,314.08984375,286.25499095767736,131.63756144046783
3,319,227,81,121,358.14453125,334.394329726696,120.58227950334549
4,288,254,112,142,424.890625,404.5876568481326,125.5289970934391
5,341,214,59,107,347.3125,333.44335224479437,105.40695968270302
6,360,197,40,77,303.77734375,292.75772532075644,96.02058908343315
7,315,221,85,107,416.53125,406.49237298965454,103.1750319302082
8,317,228,83,117,365.1171875,354.93367025256157,104.85879018902779
9,325,221,75,105,396.6171875,386.4973892942071,97.81453862786293
10,341,214,59,94,348.55859375,337.29035425931215,91.6268310546875
11,359,192,41,71,350.21484375,339.6434328854084,76.90141621232033
12,339,207,61,90,401.90234375,390.4066021591425,79.51690843701363
13,344,198,56,83,408.78515625,398.13208305835724,73.70510351657867
14,359,183,41,69,334.27734375,324.34816890209913,67.2413018643856
15,336,200,64,80,405.1484375,394.53660956025124,69.95750844478607
16,361,184,39,66,389.984375,380.1493474468589,61.25604844093323
17,357,183,43,66,357.734375,348.28343300521374,58.2609331458807
18,351,190,49,66,342.78125,333.0572384521365,57.478840842843056
19,340,196,60,71,400.0859375,390.16977959126234,56.098933175206184
20,368,180,32,57,347.203125,338.52255496382713,48.95613996684551
21,355,182,45,58,362.5546875,353.9911606758833,47.744036853313446
22,365,174,35,50,370.6640625,362.2385202422738,43.568696558475494
23,368,177,32,53,364.4609375,356.0267926007509,44.966420620679855
24,364,177,36,56,304.91015625,296.551066480577,44.55471742153168
25,362,175,38,53,385.62890625,377.091744735837,40.467740163207054
26,357,182,43,51,454.5546875,446.3715054914355,39.638239324092865
27,358,179,42,51,363.515625,355.8093489408493,38.42793571949005
28,373,164,27,37,383.54296875,376.49190551042557,33.54739324748516
29,381,171,19,45,389.5859375,382.60081378370523,33.94569905847311
30,365,171,35,47,349.08984375,342.0267957150936,32.86162379384041
31,372,164,28,36,378.53515625,372.1907707899809,30.82489088177681
32,365,180,35,53,358.86328125,351.8900837004185,33.45468861609697
33,378,170,22,46,307.82421875,301.2793916538358,30.79241394996643
34,378,158,22,26,292.75,287.0758543536067,28.673145219683647
35,369,167,31,44,325.42578125,319.3360153734684,28.65317003428936
36,382,155,18,28,367.46875,361.83905659615993,27.30413345992565
37,377,161,23,29,280.46484375,274.7512622848153,27.531380146741867
38,377,160,23,29,354.99609375,349.46618516743183,26.199576884508133
39,381,158,19,37,316.66015625,311.3552376925945,26.103114314377308
40,380,162,20,35,345.1953125,339.6633027754724,26.351426146924496
41,388,151,12,21,356.234375,351.22208128869534,24.818928763270378
42,381,155,19,24,322.46875,317.3734291046858,25.384509168565273
43,380,157,20,23,388.0078125,382.86286851391196,24.492881931364536
44,387,150,13,18,333.77734375,329.01947627961636,23.152527332305908
45,389,148,11,16,351.6484375,347.0466611087322,21.420554995536804
46,382,157,18,25,390.421875,385.26376466080546,23.432511560618877
47,376,160,24,26,340.546875,335.5050344504416,23.19081973284483
48,392,145,8,13,288.7265625,284.23428048193455,21.515233494341373
49,387,150,13,21,361.1484375,356.2187960445881,21.804290398955345
50,382,155,18,21,320.6640625,315.75368089973927,22.307003937661648
51,385,152,15,20,314.18359375,309.4740969352424,21.240483224391937
52,390,146,10,15,278.80859375,274.31768586859107,20.0031900703907
53,386,150,14,19,338.30859375,333.68126974999905,19.74927008152008
54,384,153,16,22,304.046875,299.32652308791876,20.58022764325142
55,393,145,7,14,340.34375,336.07594353333116,18.998313918709755
56,389,149,11,20,343.55859375,339.1920581012964,19.278109777718782
57,389,148,11,19,348.96484375,344.850387185812,18.169951155781746
58,384,152,16,21,343.1015625,338.94621216878295,19.00909972190857
59,391,145,9,12,373.31640625,369.22039602324367,17.132385443896055
60,388,148,12,16,339.09375,335.01123747229576,17.347158011049032
