position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,323,228,77,118,14.867424242198467,36.862141869962215,66.16439700126648
1,274,271,126,163,354.3302620202303,441.86613869667053,157.10225194692612
2,311,247,89,138,317.39377395808697,333.6655483096838,134.4324695765972
3,327,233,73,126,351.40268287807703,362.7006762176752,122.22340640425682
4,303,257,97,145,383.14015121757984,391.2094068452716,134.3131232559681
5,317,228,83,110,384.73301796615124,388.7483996003866,117.24749228358269
6,340,196,60,83,331.02466943860054,332.6295991539955,101.60719409584999
7,304,232,96,119,404.0666449666023,404.7923797816038,117.78684350848198
8,331,232,69,122,407.2213434278965,407.79064828157425,116.23473745584488
9,322,214,78,96,428.6113318800926,428.85157020390034,106.55414491891861
10,354,191,46,73,377.44160187244415,377.69140625,93.07434031367302
11,347,199,53,79,318.6907842308283,319.0390625,95.03637784719467
12,339,212,61,94,419.98023411631584,420.2265625,99.41267958283424
13,330,206,70,89,394.4853217750788,394.69921875,97.19317710399628
14,333,203,67,88,403.2079870402813,403.453125,93.12029480934143
15,370,182,30,67,358.22723350673914,358.42578125,80.33495604991913
16,340,198,60,76,360.24395374953747,360.3515625,85.6268906891346
17,362,178,38,59,338.438374273479,338.56640625,74.68810573220253
18,361,185,39,70,370.25187180936337,370.34375,75.70426887273788
19,361,178,39,57,343.59860686957836,343.66015625,69.63558056950569
20,360,180,40,62,362.1135607510805,362.23046875,67.77941280603409
21,368,176,32,55,404.62633343040943,404.84765625,63.70938065648079
22,368,171,32,48,328.8102227523923,328.98046875,60.019216150045395
23,365,171,35,42,325.3871102333069,325.52734375,55.37893716990948
24,362,177,38,48,322.7981650531292,322.97265625,52.954006254673004
25,370,168,30,41,324.34554992616177,324.5234022065997,48.437257409095764
26,367,176,33,52,390.6448410972953,391.34122394025326,48.842686891555786
27,379,167,21,43,320.51721343398094,323.19990649074316,43.49934168159962
28,362,174,38,54,418.35877031087875,422.4274322837591,44.35614250600338
