position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-494,244,94,144,17.52572687715292,nan,80.06318348646164
1,-513,248,113,143,315.2667036727071,nan,154.24503231048584
2,-510,252,110,141,409.4005540460348,nan,145.1395305097103
3,-524,258,124,151,350.2708641216159,nan,138.63260400295258
4,-454,218,54,107,288.48320718854666,nan,112.2807506620884
5,-471,209,71,100,349.474400177598,nan,107.15390184521675
6,-453,196,53,87,340.7203530818224,nan,97.40724965929985
7,-460,221,60,111,380.0453415811062,nan,110.51369547843933
8,-457,206,57,91,411.4938605427742,nan,102.21043583750725
9,-464,214,64,99,426.5385809466243,nan,105.95901224017143
10,-453,201,53,83,357.46168860793114,nan,98.84748843312263
11,-460,204,60,83,414.43655717372894,nan,97.52334469556808
12,-450,187,50,74,339.7035067677498,nan,88.27542784810066
13,-462,200,62,81,336.06777004897594,nan,93.17622318863869
14,-451,202,51,80,339.32840622216463,nan,89.85260599851608
15,-454,204,54,89,417.311756439507,nan,89.45503070950508
16,-450,192,50,77,393.1991602703929,nan,80.70173019170761
17,-453,187,53,65,347.9980136230588,nan,74.99175158143044
18,-454,188,54,69,341.79788756370544,nan,71.47705379128456
19,-435,170,35,49,289.37226291000843,nan,62.94536006450653
20,-442,185,42,67,400.56180243194103,nan,66.64455980062485
21,-439,176,39,49,408.203345566988,nan,61.14584794640541
22,-438,182,38,56,361.52674609422684,nan,60.31658737361431
23,-442,176,42,50,341.57399428635836,nan,56.55352079868317
24,-430,167,30,50,346.1658576056361,nan,50.80180183053017
25,-438,172,38,49,337.49789725244045,nan,50.221215054392815
26,-438,172,38,47,359.13867569714785,nan,48.15156501531601
27,-430,166,30,41,320.96409314870834,nan,43.35557819902897
28,-424,158,24,35,344.1247085854411,nan,40.23188519477844
29,-425,161,25,43,372.3749369457364,nan,38.72827985882759
30,-429,164,29,39,347.37763100117445,nan,37.81144821643829
31,-435,169,35,44,385.0620985850692,nan,37.21542547643185
32,-424,159,24,36,350.0039545968175,nan,34.259664699435234
33,-426,161,26,35,399.38283337652683,nan,33.46164156496525
34,-422,162,22,36,321.57785975933075,nan,32.86768715083599
35,-426,162,26,35,361.59348449856043,nan,31.681933999061584
36,-429,163,29,38,345.92968221753836,nan,30.761752910912037
37,-425,159,25,36,342.92578668147326,nan,28.92905903607607
38,-426,164,26,38,333.1093760430813,nan,29.041254356503487
39,-414,149,14,21,359.30468828231096,nan,26.294994227588177
40,-417,152,17,23,356.5117191672325,nan,26.339216120541096
41,-420,157,20,30,272.98437514156103,nan,26.293895840644836
42,-413,151,13,27,367.95703130215406,nan,24.94039598852396
43,-427,164,27,36,348.09765630960464,nan,26.55712591856718
44,-423,161,23,35,384.97265626490116,nan,25.47361569106579
45,-418,152,18,22,340.0429687574506,nan,23.57437412440777
46,-414,149,14,24,389.0546875,nan,22.632110968232155
47,-417,154,17,27,302.46875,nan,22.87759156525135
48,-413,150,13,21,311.3359375,nan,22.16817879676819
49,-415,151,15,24,348.3671875,nan,21.562053881585598
50,-408,147,8,18,366.36328125,nan,21.516751892864704
51,-409,143,9,12,343.828125,nan,20.339698120951653
52,-417,152,17,20,372.9921875,nan,20.781810760498047
53,-409,144,9,14,315.66015625,nan,19.374367237091064
54,-413,148,13,17,303.46484375,nan,19.164733573794365
55,-411,145,11,12,315.4296875,nan,19.056158423423767
56,-410,144,10,11,371.47265625,nan,18.437707513570786
57,-408,146,8,17,380.80859375,nan,18.45436231791973
58,-411,145,11,17,373.734375,nan,17.006032183766365
59,-414,148,14,17,386.12890768796206,nan,17.26156021282077
60,-412,146,12,14,332.68360271304846,nan,16.873204730451107
61,-417,151,17,23,398.24218836426735,nan,17.350141517817974
62,-406,141,6,9,331.33984375,nan,15.271809563040733
63,-407,143,7,11,374.73828145861626,nan,15.180839002132416
64,-412,147,12,16,353.2890625,nan,15.094139568507671
65,-409,144,9,12,296.0468750372529,nan,14.206889495253563
66,-411,146,11,16,396.09765625,nan,13.614324618130922
67,-411,145,11,12,324.1601562574506,nan,13.934103809297085
68,-407,142,7,11,317.53125,nan,13.380340423434973
69,-408,142,8,13,417.09375,nan,13.014881141483784
70,-409,143,9,12,313.9296875,nan,12.318837858736515
71,-410,144,10,16,338.75,nan,12.114053513854742
72,-404,138,4,6,381.76171904429793,nan,11.251917973160744
73,-402,136,2,2,340.93363727629185,nan,10.747024644166231
74,-408,144,8,12,366.4260121323168,nan,11.001593803986907
75,-403,139,3,10,397.1875,nan,10.976158985868096
76,-405,139,5,10,346.48046875,nan,10.694090217351913
77,-405,139,5,8,374.16015625,nan,9.851850934326649
78,-406,141,6,7,427.734375,nan,9.949673308059573
79,-405,140,5,8,371.15234375,nan,9.725073121488094
80,-408,142,8,9,364.40625,nan,9.305290047079325
81,-405,140,5,9,426.515625,nan,8.920494686812162
82,-409,146,9,13,405.0390625,nan,9.253069756552577
83,-408,142,8,10,370.4921875,nan,8.615423614159226
84,-407,141,7,7,404.3828125,nan,8.3082219325006
85,-403,139,3,8,403.87890625,nan,8.277436459437013
86,-406,140,6,7,369.57421875,nan,8.13308010995388
87,-414,148,14,16,388.109375,nan,8.314442999660969
88,-405,141,5,8,409.64453125,nan,7.016356762498617
89,-402,137,2,7,369.0234375,nan,6.8296560905873775
90,-404,138,4,5,434.33984375,nan,7.2685612346976995
91,-402,137,2,4,284.21484375,nan,6.9013999700546265
92,-403,137,3,3,393.29296875,nan,6.970945905894041
93,-406,140,6,7,415.09375,nan,6.4910805290564895
94,-403,137,3,4,368.06640625,nan,6.193351415451616
95,-401,136,1,2,417.51171875,nan,6.034266653005034
96,-404,138,4,4,333.3515625,nan,5.716281605884433
97,-405,139,5,8,361.171875,nan,5.764265775680542
98,-403,137,3,4,392.4140625,nan,5.622237450443208
99,-402,137,2,5,407.79296875,nan,5.489027980715036
