position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-509,273,109,169,26.48603504896164,22.601103127002716,98.55932211875916
1,-497,232,97,130,286.4600806683302,275.33507488667965,137.5859288573265
2,-482,225,82,121,309.6001268774271,296.2689851000905,125.70187228918076
3,-480,235,80,127,390.28646770119667,384.2365055605769,126.16060280799866
4,-471,225,71,112,385.0191935971379,384.5705051422119,119.64250403642654
5,-494,248,94,133,429.3171323686838,442.4159191697836,128.92780843377113
6,-502,253,102,142,450.12025687098503,454.1513570174575,131.61431765556335
7,-468,215,68,100,420.7771333605051,405.7561145424843,109.78341236710548
8,-479,217,79,113,417.8771433830261,404.7033436521888,112.20433583855629
9,-462,196,62,82,367.03976736962795,356.07181702554226,100.29827189445496
10,-476,210,76,92,362.9081265926361,350.57036585360765,104.4795113503933
11,-458,204,58,85,339.523019105196,325.25899036973715,100.0013542175293
12,-452,195,52,77,322.23996002972126,308.45213824510574,93.90162575244904
13,-473,207,73,90,382.6320472061634,368.9779007360339,96.39206248521805
14,-448,182,48,70,384.14017744362354,374.676692456007,81.55341830849648
15,-467,201,67,86,362.9140625,361.3877994194627,87.55927184224129
16,-451,185,51,65,418.78125,415.55306574702263,78.09570181369781
17,-453,187,53,66,384.5703125,375.7675143778324,75.11874362826347
18,-445,187,45,66,337.80078169703484,327.2751200646162,70.80637213587761
19,-474,208,74,92,353.0234375,340.39773827046156,73.92668032646179
20,-451,185,51,63,371.203125,358.99315693601966,62.80562111735344
21,-436,171,36,48,327.64453125,317.8256001845002,54.69807216525078
22,-453,187,53,69,354.88671875,344.8323847539723,57.4689057469368
23,-437,178,37,50,372.71484375,360.90673399716616,51.20047567784786
24,-427,163,27,44,285.08203125,274.1231904067099,44.106697767972946
25,-429,168,29,40,410.37109375,398.70602859184146,43.84373012185097
26,-420,163,20,38,312.390625,300.3661663495004,41.20196411013603
27,-430,164,30,38,337.09765625,324.5931581184268,38.762962341308594
28,-440,174,40,50,378.953125,365.21903535723686,39.865845412015915
29,-434,173,34,47,350.34765625,337.4556042253971,37.186925157904625
30,-418,155,18,29,335.265625,324.3773335888982,31.60605126619339
31,-425,159,25,41,397.82421875,386.272314094007,31.08959622681141
32,-422,159,22,31,325.7734375,312.598586153239,30.49207329005003
33,-429,166,29,41,332.734375,318.1574517954141,30.7558713555336
34,-432,166,32,42,401.05859375,387.15166086889803,30.373844869434834
35,-418,153,18,25,355.31640625,342.36936002224684,26.601746648550034
36,-423,163,23,34,337.9921875,323.4829085338861,28.643213979899883
37,-426,163,26,33,397.01953125,382.6308708153665,27.03855249285698
38,-428,163,28,37,368.921875,354.25179143436253,27.11634562164545
39,-416,155,16,33,348.33984375,334.7914500143379,25.749936766922474
40,-417,152,17,29,347.5078125,334.4384190496057,24.26348339766264
41,-423,157,23,29,320.515625,306.2596386708319,24.43932941555977
42,-416,155,16,33,323.0390625,309.3688266649842,24.679303370416164
43,-426,161,26,38,364.03125,350.7728253751993,25.459603026509285
44,-408,143,8,13,302.30078125,292.0226288661361,22.45367169380188
45,-421,155,21,29,312.79296875,303.49100298061967,23.759990237653255
46,-415,149,15,21,324.55859375,317.0684205889702,23.013682298362255
47,-415,153,15,22,318.5625,311.788617964834,22.97286408394575
48,-414,149,14,20,321.171875,315.23693476989865,22.213942885398865
49,-412,147,12,19,305.125,299.7310279533267,21.071217082440853
50,-406,140,6,10,413.19140625,408.2977034151554,20.203638337552547
51,-414,150,14,23,302.171875,296.7849529273808,21.27895136922598
52,-413,148,13,20,357.6171875,352.68721587210894,21.550735242664814
53,-411,146,11,18,331.71875,327.11591566726565,20.958613954484463
54,-408,144,8,16,319.23046875,314.5438526272774,19.71391086280346
55,-416,150,16,20,375.9921875,370.8347483985126,20.32106789946556
56,-406,140,6,10,286.96875,282.0152219608426,18.408974081277847
57,-411,148,11,18,328.17578125,323.02273640036583,18.772897988557816
58,-408,145,8,14,330.7265625,325.94885233417153,18.502275712788105
59,-408,145,8,13,364.73828125,360.2491687014699,18.624804563820362
60,-417,151,17,20,377.3203125,372.8848698437214,18.5395290851593
61,-415,149,15,18,367.703125,363.5939282178879,17.382173381745815
62,-403,137,3,5,288.11328125,284.435983736068,15.163553971797228
63,-407,141,7,10,322.515625,318.96577820926905,15.959055494517088
64,-413,147,13,14,338.75390625,335.072833776474,15.80487223342061
65,-415,149,15,15,373.04296875,369.4841937534511,15.247969720512629
66,-402,136,2,3,383.359375,380.4028779529035,13.14572849869728
67,-406,140,6,9,324.53515625,321.4479998536408,13.261977229267359
68,-406,140,6,9,370.97265625,368.02854361757636,13.341535434126854
69,-406,140,6,8,351.81640625,348.9993714541197,12.884973503649235
70,-408,142,8,8,323.5390625,320.8379686642438,12.584403276443481
71,-406,140,6,8,295.32421875,292.6239619962871,11.921009942889214
72,-408,143,8,12,360.73046875,357.8744781650603,11.9782230630517
73,-404,138,4,7,450.1953125,447.91352275013924,11.161005523055792
74,-409,144,9,12,419.765625,417.1787555664778,11.481589628383517
75,-405,139,5,6,380.984375,378.64530765265226,10.234516654163599
76,-407,141,7,8,372.09765625,369.6519772503525,10.570270530879498
77,-405,140,5,7,374.58984375,372.49945563077927,10.341796278953552
78,-406,140,6,9,352.59765625,350.5303240530193,9.731026971712708
79,-406,141,6,12,399.23828125,397.01359208859503,9.635680412873626
80,-405,141,5,9,327.07421875,324.8970987331122,9.404798682779074
81,-406,141,6,11,370.8359375,368.5471782833338,9.990430757403374
82,-406,142,6,8,407.7536036334932,405.64913729578257,8.788495002314448
83,-410,144,10,12,410.86291831731796,408.80427351407707,8.784543262794614
84,-402,136,2,4,304.1952024195343,302.12795197591186,7.913017705082893
85,-407,143,7,11,328.99600372463465,326.92192081548274,7.843110678717494
86,-402,136,2,6,450.32290117815137,448.3911209665239,7.640926415100694
87,-403,138,3,6,393.9486538730562,392.2372647114098,7.268834025599062
88,-402,136,2,3,272.00793385505676,270.1216109972447,7.282017946243286
89,-402,137,2,4,352.9291784092784,351.27076291199774,7.123640349134803
90,-403,137,3,4,371.59337481483817,369.97192156035453,6.640655601397157
91,-406,140,6,9,371.5859364364296,369.97099714912474,6.829083567485213
92,-405,139,5,5,408.8279499169439,407.261178214103,6.430289378389716
93,-404,139,4,7,330.562448553741,329.0776291806251,6.5871671596542
94,-405,139,5,6,380.3164313044399,379.04506485629827,6.078331025317311
95,-401,135,1,1,417.308657521382,416.03514913469553,5.5185991656035185
96,-406,140,6,6,333.34379270114005,331.9111268213019,5.759003662504256
97,-400,134,0,1,329.73827319964767,328.45736156217754,5.250150922685862
98,-402,136,2,3,476.35162013210356,475.0708534838632,5.274838442914188
99,-407,141,7,10,382.773504643701,381.53690702142194,5.441359583288431
