position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-505,271,105,164,20.93346320092678,27.6445654630661,100.58714669942856
1,-486,227,86,129,234.7516212835908,233.8397284373641,136.53580564260483
2,-490,249,90,149,405.585193015635,398.6049803122878,141.27156147360802
3,-531,265,131,156,422.23302540928125,411.80872295051813,144.94598346948624
4,-492,229,92,122,404.523674428463,390.4248082637787,119.88981106877327
5,-477,217,77,106,391.71117540448904,376.08851463347673,110.160286039114
6,-467,201,67,86,337.4752472490072,321.35723657161,98.67499032616615
7,-479,213,79,100,381.2970776408911,364.0031759738922,103.037149310112
8,-462,214,62,99,372.38024117052555,357.70861276239157,102.28053125739098
9,-498,238,98,130,477.3374504595995,457.59036971628666,112.08277329802513
10,-460,202,60,88,333.13954669237137,314.89788986742496,93.74176722764969
11,-474,213,74,101,389.0645787715912,369.6982090473175,99.04584321379662
12,-460,197,60,82,366.7476038336754,nan,89.13789117336273
13,-454,192,54,73,378.39789740741253,nan,90.14712208509445
14,-457,193,57,78,383.9939266592264,nan,87.22001510858536
15,-437,176,37,63,303.34887178242207,nan,77.6173766553402
16,-454,197,54,78,343.7378416284919,nan,85.78771987557411
17,-448,186,48,69,372.0914023965597,nan,79.15166273713112
18,-448,182,48,61,308.74471896886826,nan,74.54441207647324
19,-462,196,62,81,361.2580390870571,nan,77.05375722050667
20,-445,181,45,57,367.43364638090134,nan,66.44319173693657
21,-429,171,29,48,368.3789123594761,nan,58.357219994068146
22,-432,170,32,44,346.0195337086916,nan,55.709453374147415
23,-426,163,26,42,315.96093809604645,nan,49.97661831974983
24,-442,176,42,55,433.4414065182209,nan,51.928853288292885
25,-433,168,33,50,338.40625001490116,nan,47.040076196193695
26,-422,158,22,36,346.2031250298023,nan,44.139799788594246
27,-430,166,30,38,331.2734375298023,nan,42.52254971861839
28,-437,171,37,48,406.96875,nan,42.61948190629482
29,-423,167,23,42,318.515625,nan,40.16316859424114
30,-421,158,21,33,379.10546875,nan,36.282505482435226
31,-423,160,23,37,303.84765625,nan,36.05978633463383
32,-433,169,33,41,380.04296875,nan,36.43971925973892
33,-430,164,30,40,348.3125,nan,34.4221234023571
34,-419,153,19,26,334.06640625,nan,31.01190312206745
35,-428,163,28,40,369.08203125,nan,32.471605718135834
36,-415,159,15,37,381.25652445852757,nan,30.52883007377386
37,-425,165,25,38,384.2790235057473,nan,30.995556838810444
38,-417,157,17,31,326.8432998508215,nan,29.871122390031815
39,-418,154,18,24,388.7571984902024,nan,27.667654760181904
40,-418,153,18,29,360.5228375867009,nan,27.48325763642788
41,-412,146,12,17,275.0973175987601,nan,25.027962148189545
42,-412,148,12,21,349.9106452912092,nan,24.654639147222042
43,-416,153,16,28,390.79699828475714,nan,25.684223525226116
44,-420,155,20,28,375.3830518424511,nan,24.9753440618515
45,-414,149,14,23,286.6525476574898,nan,23.74018158018589
46,-417,151,17,22,334.0899301767349,nan,23.4953491166234
47,-416,152,16,25,342.7969484254718,nan,23.401017621159554
48,-412,146,12,15,354.48442982137203,nan,21.81230492889881
49,-412,146,12,18,322.95710767805576,nan,21.038349352777004
50,-414,151,14,19,379.85943361371756,nan,21.737991333007812
51,-417,151,17,18,357.8672324344516,nan,21.24336113035679
52,-414,152,14,25,285.75786508619785,nan,21.415963254868984
53,-413,147,13,15,303.7109512835741,nan,20.483588621020317
54,-419,154,19,23,379.78125977516174,nan,20.81377199292183
55,-411,146,11,15,341.16797338426113,nan,19.53369591385126
56,-409,144,9,13,306.183599203825,nan,18.634979523718357
57,-414,149,14,20,387.7382852882147,nan,19.018941558897495
58,-411,147,11,16,374.5742191821337,nan,17.956465244293213
59,-410,144,10,14,348.9218761846423,nan,16.92059987410903
60,-410,145,10,18,345.61718825250864,nan,16.602675445377827
61,-409,145,9,11,314.18359427154064,nan,16.51709585264325
62,-409,145,9,14,369.7109377384186,nan,15.62064728140831
63,-415,149,15,18,357.1875,nan,15.4002839140594
64,-406,140,6,11,359.38671899586916,nan,14.270786538720131
65,-414,148,14,16,344.13671919703484,nan,15.09095299988985
66,-418,153,18,21,381.867187730968,nan,14.135026536881924
67,-412,146,12,15,349.54296880960464,nan,13.952047619968653
68,-406,141,6,13,348.7539062947035,nan,12.691763687878847
69,-408,142,8,11,395.3359375372529,nan,12.928765069693327
70,-407,141,7,9,414.0859375298023,nan,12.729056794196367
71,-407,142,7,11,347.8554687984288,nan,11.99870366603136
72,-409,143,9,12,319.74609377235174,nan,11.596779998391867
73,-412,147,12,18,335.24609376490116,nan,11.55638630129397
74,-407,141,7,10,384.62500005215406,nan,10.91946780309081
75,-409,144,9,10,387.80859376490116,nan,10.63188716582954
76,-409,144,9,11,409.08203125,nan,10.005077667534351
77,-407,141,7,7,361.98046875,nan,9.802300034090877
78,-407,142,7,13,377.4765625037253,nan,9.907622043043375
79,-406,140,6,9,429.6796875,nan,8.999238481745124
80,-405,140,5,9,389.4296875,nan,8.927989630028605
81,-405,139,5,6,351.765625,nan,8.442483952268958
82,-409,143,9,10,342.0859375,nan,8.799965519458055
83,-403,137,3,5,372.9375,nan,8.061096381396055
84,-406,140,6,7,351.1328125,nan,7.877502202987671
85,-405,139,5,5,416.4609375,nan,7.84388248808682
86,-404,138,4,5,428.4296875,nan,7.169178300537169
87,-409,144,9,16,394.2109375,nan,7.544661972671747
88,-405,139,5,6,375.1171875,nan,7.038361539132893
89,-407,141,7,9,347.0546875,nan,6.816901857033372
90,-401,135,1,1,405.80078125,nan,6.34775535389781
91,-407,141,7,8,340.36328125,nan,6.1957308473065495
92,-402,136,2,5,330.39453125,nan,6.065134295262396
93,-405,139,5,6,392.984375,nan,6.285521500743926
94,-407,141,7,7,340.1015625,nan,5.354658298194408
95,-401,136,1,2,352.05078125,nan,5.222179841250181
96,-405,139,5,5,355.1953125,nan,5.230158937163651
97,-407,142,7,9,392.82421875,nan,5.49539012555033
98,-404,139,4,7,373.7421875,nan,5.157070145010948
99,-404,140,4,7,436.15625,nan,5.150406125932932
