winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
1,DeathDescription.LIFETOTAL,49,266.8142318725586,1,0,7,7,5,8
0,DeathDescription.DECKING,67,253.82184982299805,10,3,7,6,1,7
0,DeathDescription.DECKING,67,285.294771194458,8,0,7,7,2,7
0,DeathDescription.DECKING,67,295.3684329986572,1,0,7,5,4,7
0,DeathDescription.DECKING,67,229.57229614257812,1,0,7,3,2,7
0,DeathDescription.DECKING,67,290.62414169311523,8,4,7,5,1,7
0,DeathDescription.DECKING,67,291.5074825286865,4,2,7,1,0,7
0,DeathDescription.DECKING,67,281.7859649658203,9,3,7,10,1,7
0,DeathDescription.DECKING,67,281.39495849609375,4,2,7,0,0,7
0,DeathDescription.DECKING,67,256.0582160949707,8,3,7,3,0,7
0,DeathDescription.DECKING,67,263.42129707336426,1,1,7,1,0,7
0,DeathDescription.DECKING,67,256.87527656555176,5,1,7,3,3,7
0,DeathDescription.DECKING,67,276.11470222473145,1,1,7,0,0,7
0,DeathDescription.DECKING,67,240.12351036071777,4,3,7,1,0,7
0,DeathDescription.LIFETOTAL,58,278.4848213195801,5,3,8,7,0,7
0,DeathDescription.DECKING,67,288.15460205078125,4,3,7,7,1,7
0,DeathDescription.DECKING,67,270.68161964416504,1,0,7,6,2,7
0,DeathDescription.DECKING,67,282.135009765625,0,0,7,2,1,7
0,DeathDescription.DECKING,67,255.41329383850098,2,0,7,5,2,7
0,DeathDescription.DECKING,67,295.32480239868164,8,3,7,4,1,7
0,DeathDescription.DECKING,67,250.32806396484375,1,0,7,2,3,7
0,DeathDescription.DECKING,67,260.5764865875244,4,0,7,6,1,7
0,DeathDescription.DECKING,67,295.6271171569824,1,0,7,0,0,7
0,DeathDescription.DECKING,67,263.0157470703125,3,0,7,6,1,7
0,DeathDescription.DECKING,67,263.3016109466553,0,0,7,1,0,7
0,DeathDescription.DECKING,67,268.0366039276123,8,3,7,0,0,7
0,DeathDescription.DECKING,67,229.03895378112793,6,2,7,4,0,7
0,DeathDescription.DECKING,67,277.88543701171875,5,1,7,12,6,7
0,DeathDescription.DECKING,67,285.4747772216797,6,5,7,4,3,7
0,DeathDescription.DECKING,67,278.8815498352051,1,0,7,1,1,7
0,DeathDescription.DECKING,67,252.80141830444336,5,6,7,1,0,7
0,DeathDescription.DECKING,67,251.46150588989258,0,0,7,0,0,7
0,DeathDescription.DECKING,67,234.51662063598633,7,3,7,1,1,7
1,DeathDescription.LIFETOTAL,63,248.79026412963867,0,0,7,8,3,8
0,DeathDescription.DECKING,67,295.5803871154785,8,5,7,2,0,7
0,DeathDescription.DECKING,67,266.19458198547363,0,0,7,0,0,7
0,DeathDescription.DECKING,67,276.48210525512695,1,0,7,3,2,7
0,DeathDescription.DECKING,67,251.12104415893555,5,2,7,0,0,7
0,DeathDescription.DECKING,67,257.34782218933105,1,1,7,1,0,7
