winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_1_lands,seat_0_board_size,seat_1_board_size
0,DeathDescription.LIFETOTAL,12,33.95986557006836,4,5,5,4
1,DeathDescription.LIFETOTAL,11,23.266315460205078,6,6,3,5
1,DeathDescription.LIFETOTAL,13,21.726369857788086,3,7,0,6
0,DeathDescription.LIFETOTAL,12,44.98147964477539,4,5,5,1
0,DeathDescription.LIFETOTAL,14,39.8106575012207,3,4,5,0
1,DeathDescription.LIFETOTAL,11,28.378725051879883,6,5,3,4
1,DeathDescription.LIFETOTAL,13,31.570911407470703,5,5,4,5
0,DeathDescription.LIFETOTAL,10,38.504838943481445,4,5,5,2
0,DeathDescription.LIFETOTAL,10,26.51071548461914,4,5,5,2
0,DeathDescription.LIFETOTAL,10,22.736310958862305,4,4,5,3
1,DeathDescription.LIFETOTAL,11,32.24039077758789,6,6,5,4
1,DeathDescription.LIFETOTAL,13,30.902385711669922,3,6,1,5
0,DeathDescription.LIFETOTAL,10,42.08183288574219,5,4,5,3
0,DeathDescription.LIFETOTAL,10,42.01459884643555,4,5,5,1
0,DeathDescription.LIFETOTAL,10,26.69501304626465,5,5,4,1
0,DeathDescription.LIFETOTAL,10,32.55915641784668,4,4,5,2
1,DeathDescription.LIFETOTAL,11,21.924734115600586,4,6,1,6
0,DeathDescription.LIFETOTAL,12,28.57661247253418,4,5,5,5
0,DeathDescription.LIFETOTAL,12,21.778106689453125,7,3,5,3
1,DeathDescription.LIFETOTAL,11,39.1697883605957,4,5,4,5
0,DeathDescription.LIFETOTAL,12,28.508663177490234,4,3,5,4
0,DeathDescription.LIFETOTAL,10,20.548343658447266,6,4,5,3
0,DeathDescription.LIFETOTAL,10,26.27110481262207,5,5,5,5
0,DeathDescription.LIFETOTAL,12,34.148216247558594,7,3,4,3
0,DeathDescription.LIFETOTAL,10,35.86912155151367,4,5,5,3
0,DeathDescription.LIFETOTAL,10,30.16376495361328,6,3,5,3
0,DeathDescription.LIFETOTAL,10,30.74026107788086,6,5,5,4
1,DeathDescription.LIFETOTAL,11,34.543752670288086,5,6,2,4
0,DeathDescription.LIFETOTAL,10,37.84012794494629,6,4,5,4
1,DeathDescription.LIFETOTAL,11,43.98393630981445,4,4,4,5
0,DeathDescription.LIFETOTAL,12,24.146556854248047,7,6,4,3
1,DeathDescription.LIFETOTAL,11,29.25896644592285,6,5,4,6
0,DeathDescription.LIFETOTAL,10,32.53746032714844,5,4,4,4
0,DeathDescription.LIFETOTAL,12,23.990631103515625,7,4,4,5
0,DeathDescription.LIFETOTAL,10,67.413330078125,5,5,5,4
0,DeathDescription.LIFETOTAL,10,44.08144950866699,5,5,4,4
0,DeathDescription.LIFETOTAL,14,36.246538162231445,4,7,5,4
1,DeathDescription.LIFETOTAL,11,32.186269760131836,4,4,2,6
0,DeathDescription.LIFETOTAL,10,32.92036056518555,5,5,5,3
1,DeathDescription.LIFETOTAL,13,50.1859188079834,4,4,4,4
0,DeathDescription.LIFETOTAL,14,51.558494567871094,8,5,5,0
0,DeathDescription.LIFETOTAL,10,34.19303894042969,6,4,4,4
0,DeathDescription.LIFETOTAL,10,25.74324607849121,6,5,5,2
1,DeathDescription.LIFETOTAL,11,21.454572677612305,4,6,4,5
0,DeathDescription.LIFETOTAL,10,25.356054306030273,5,5,5,0
1,DeathDescription.LIFETOTAL,11,49.72505569458008,6,5,5,5
0,DeathDescription.LIFETOTAL,10,21.494150161743164,3,5,5,4
0,DeathDescription.LIFETOTAL,10,46.289682388305664,6,5,4,4
0,DeathDescription.LIFETOTAL,10,39.515018463134766,6,5,5,4
0,DeathDescription.LIFETOTAL,10,26.44491195678711,4,4,5,4
0,DeathDescription.LIFETOTAL,10,47.67012596130371,4,5,5,4
0,DeathDescription.LIFETOTAL,10,26.29542350769043,6,5,5,3
1,DeathDescription.LIFETOTAL,11,28.316259384155273,6,6,4,5
0,DeathDescription.LIFETOTAL,10,19.329309463500977,4,1,5,0
0,DeathDescription.LIFETOTAL,10,30.93433380126953,6,5,5,3
0,DeathDescription.LIFETOTAL,10,47.88684844970703,6,5,5,0
0,DeathDescription.LIFETOTAL,10,32.881975173950195,6,5,5,4
1,DeathDescription.LIFETOTAL,11,27.68850326538086,6,6,4,5
0,DeathDescription.LIFETOTAL,10,31.033992767333984,3,5,5,3
1,DeathDescription.LIFETOTAL,11,30.983924865722656,6,5,5,6
0,DeathDescription.LIFETOTAL,10,34.42788124084473,5,4,5,2
0,DeathDescription.LIFETOTAL,10,20.536422729492188,5,5,4,3
0,DeathDescription.LIFETOTAL,10,25.398731231689453,6,4,4,4
0,DeathDescription.LIFETOTAL,10,27.536630630493164,3,5,5,4
1,DeathDescription.LIFETOTAL,13,27.501821517944336,3,6,0,6
0,DeathDescription.LIFETOTAL,10,20.263195037841797,4,3,6,0
1,DeathDescription.LIFETOTAL,11,33.15877914428711,2,5,2,5
1,DeathDescription.LIFETOTAL,11,54.19731140136719,6,5,4,5
1,DeathDescription.LIFETOTAL,11,21.36993408203125,5,5,5,5
1,DeathDescription.LIFETOTAL,11,33.19668769836426,5,4,1,5
0,DeathDescription.LIFETOTAL,12,33.22601318359375,5,6,5,5
0,DeathDescription.LIFETOTAL,10,43.21932792663574,5,4,5,4
0,DeathDescription.LIFETOTAL,12,31.388521194458008,5,6,5,5
0,DeathDescription.LIFETOTAL,10,37.78433799743652,6,5,4,3
0,DeathDescription.LIFETOTAL,12,28.914213180541992,6,6,6,3
1,DeathDescription.LIFETOTAL,11,30.606508255004883,6,6,4,6
0,DeathDescription.LIFETOTAL,10,22.43328094482422,5,5,5,4
1,DeathDescription.LIFETOTAL,11,25.995492935180664,6,6,5,5
1,DeathDescription.LIFETOTAL,11,40.13538360595703,5,6,5,5
1,DeathDescription.LIFETOTAL,13,25.167226791381836,5,7,3,3
1,DeathDescription.LIFETOTAL,13,33.245086669921875,4,7,2,5
1,DeathDescription.LIFETOTAL,11,44.86894607543945,4,6,4,5
1,DeathDescription.LIFETOTAL,11,26.75318717956543,6,4,0,5
0,DeathDescription.LIFETOTAL,10,27.9693603515625,5,5,6,4
0,DeathDescription.LIFETOTAL,10,21.942853927612305,5,5,5,4
1,DeathDescription.LIFETOTAL,11,23.61774444580078,4,6,4,5
0,DeathDescription.LIFETOTAL,10,24.307966232299805,6,5,5,3
0,DeathDescription.LIFETOTAL,10,30.736207962036133,4,5,5,3
0,DeathDescription.LIFETOTAL,10,25.90799331665039,6,5,5,3
1,DeathDescription.LIFETOTAL,11,34.17658805847168,6,5,4,5
0,DeathDescription.LIFETOTAL,10,30.16972541809082,5,4,5,2
0,DeathDescription.LIFETOTAL,12,39.2155647277832,5,5,5,4
0,DeathDescription.LIFETOTAL,10,53.583383560180664,4,5,5,4
0,DeathDescription.LIFETOTAL,10,41.039228439331055,6,2,5,0
1,DeathDescription.LIFETOTAL,11,42.545318603515625,2,6,4,5
0,DeathDescription.LIFETOTAL,10,19.475460052490234,4,5,5,4
1,DeathDescription.LIFETOTAL,13,32.12141990661621,5,6,5,5
0,DeathDescription.LIFETOTAL,10,32.74822235107422,6,5,5,4
1,DeathDescription.LIFETOTAL,13,29.582500457763672,7,7,3,5
0,DeathDescription.LIFETOTAL,10,25.102615356445312,6,5,6,1
0,DeathDescription.LIFETOTAL,12,41.193485260009766,5,5,5,5
0,DeathDescription.LIFETOTAL,10,26.66020393371582,5,5,4,4
0,DeathDescription.LIFETOTAL,10,39.53266143798828,6,5,5,4
1,DeathDescription.LIFETOTAL,11,43.86544227600098,5,6,4,6
1,DeathDescription.LIFETOTAL,11,40.29107093811035,4,6,3,5
0,DeathDescription.LIFETOTAL,10,21.338939666748047,6,5,5,3
1,DeathDescription.LIFETOTAL,15,26.005268096923828,5,5,3,6
1,DeathDescription.LIFETOTAL,13,35.552263259887695,2,5,2,6
0,DeathDescription.LIFETOTAL,10,43.555259704589844,3,3,5,1
0,DeathDescription.LIFETOTAL,10,21.734237670898438,6,5,6,4
0,DeathDescription.LIFETOTAL,10,20.88475227355957,6,5,4,4
1,DeathDescription.LIFETOTAL,13,26.21769905090332,6,7,3,6
0,DeathDescription.LIFETOTAL,10,39.33882713317871,4,4,5,4
0,DeathDescription.LIFETOTAL,10,30.28273582458496,5,5,5,2
0,DeathDescription.LIFETOTAL,10,25.354623794555664,6,5,5,2
0,DeathDescription.LIFETOTAL,12,23.73981475830078,7,6,5,4
0,DeathDescription.LIFETOTAL,10,34.0886116027832,6,5,5,4
0,DeathDescription.LIFETOTAL,12,35.126447677612305,7,6,5,4
0,DeathDescription.LIFETOTAL,10,32.49645233154297,6,5,4,4
1,DeathDescription.LIFETOTAL,11,28.281688690185547,5,6,2,5
1,DeathDescription.LIFETOTAL,11,50.43959617614746,4,6,4,5
1,DeathDescription.LIFETOTAL,11,22.640228271484375,5,6,4,5
0,DeathDescription.LIFETOTAL,12,27.373552322387695,3,3,5,4
0,DeathDescription.LIFETOTAL,10,26.32904052734375,6,3,4,3
0,DeathDescription.LIFETOTAL,10,37.03117370605469,5,5,5,3
0,DeathDescription.LIFETOTAL,10,26.784658432006836,5,5,4,0
1,DeathDescription.LIFETOTAL,13,36.086320877075195,7,7,5,5
1,DeathDescription.LIFETOTAL,11,27.42457389831543,6,4,0,6
0,DeathDescription.LIFETOTAL,12,33.576011657714844,5,6,5,3
0,DeathDescription.LIFETOTAL,12,22.273540496826172,7,5,4,1
0,DeathDescription.LIFETOTAL,10,27.43053436279297,6,5,4,3
1,DeathDescription.LIFETOTAL,11,25.540828704833984,4,3,0,5
0,DeathDescription.LIFETOTAL,10,43.87831687927246,4,5,5,3
1,DeathDescription.LIFETOTAL,13,30.77244758605957,4,6,5,5
0,DeathDescription.LIFETOTAL,10,32.46259689331055,5,5,6,3
0,DeathDescription.LIFETOTAL,12,33.890485763549805,7,6,3,4
0,DeathDescription.LIFETOTAL,10,32.35793113708496,5,5,5,3
1,DeathDescription.LIFETOTAL,11,32.62138366699219,4,5,2,5
1,DeathDescription.LIFETOTAL,11,43.32733154296875,6,4,6,5
