position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-427,57,27,37,,0,0
1,-410,36,10,16,,0,0
2,-420,47,20,28,87.47477054595947,86.72928619384766,9.60340416431427
3,-432,67,32,47,504.88478550314903,498.95352424681187,41.687255680561066
4,-429,55,29,35,405.2607421427965,399.84889087826014,32.949299693107605
5,-436,65,36,45,437.6320905536413,431.85467852652073,38.16853439807892
6,-433,65,33,43,436.857377782464,432.0498921573162,37.335573613643646
7,-445,70,45,53,450.04012954980135,444.153882086277,38.75976920127869
8,-447,78,47,53,497.98404566943645,491.65483113378286,41.65157303214073
9,-432,58,32,40,425.8987236842513,420.94903037697077,30.026434868574142
10,-427,56,27,37,337.64856284856796,333.7028246894479,28.39167046546936
11,-440,65,40,50,404.8447063937783,400.6307390257716,33.02146124839783
12,-416,42,16,23,253.70512054115534,251.5430203154683,21.278234899044037
13,-444,69,44,51,452.1087930649519,449.10469172149897,33.49980741739273
14,-450,75,50,59,550.2678001821041,547.7705210745335,36.299515157938
15,-439,66,39,51,466.69305884838104,466.2961102873087,31.395559906959534
16,-450,82,50,63,540.8269598931074,540.9020079821348,39.33711135387421
17,-420,47,20,27,263.209640391171,263.9536203891039,22.824423283338547
18,-430,56,30,33,292.3433768376708,293.3333893418312,25.187154203653336
19,-425,50,25,30,319.7428324148059,320.2625239789486,23.916596353054047
20,-427,57,27,37,401.7010586708784,402.3633804768324,25.85206949710846
21,-437,75,37,50,532.1147855743766,533.5788544267416,34.781388103961945
22,-413,39,13,17,317.90420477092266,318.6920658349991,17.61091336607933
23,-477,106,77,84,711.1068778187037,714.9570465534925,46.60153675079346
24,-416,42,16,21,299.3581576272845,301.1072352230549,18.725860506296158
25,-412,53,12,18,319.5621765628457,322.06471936404705,23.200180411338806
26,-416,41,16,21,311.84787856042385,313.36480420827866,17.347172379493713
27,-433,63,33,44,415.2769153043628,417.204377502203,26.754426270723343
28,-424,50,24,36,317.4871948957443,317.78351110219955,21.350194305181503
29,-416,42,16,21,285.37049137055874,285.01248405873775,17.97213041782379
30,-403,29,3,8,177.15791821479797,176.44084668159485,11.9778171479702
31,-415,40,15,19,279.317798525095,277.9223609417677,16.137110888957977
32,-406,31,6,6,187.00787472724915,185.6835195273161,12.817436426877975
33,-405,35,5,8,306.723990932107,304.7410769611597,15.02221217751503
34,-404,34,4,6,266.10487788915634,263.88615725934505,13.691710621118546
35,-405,30,5,8,212.43192461133003,210.02954384684563,11.968363255262375
36,-402,27,2,4,205.58183526992798,203.26103615760803,10.443303257226944
37,-404,29,4,4,202.6927548646927,200.37525893747807,11.174605458974838
38,-420,53,20,21,411.257990822196,406.08610992878675,20.973924338817596
39,-403,29,3,7,215.57704880833626,212.4960217177868,11.236930340528488
40,-402,27,2,4,236.9395885914564,234.12928615510464,10.946747452020645
41,-403,28,3,3,240.2322233915329,237.45697048306465,10.620607763528824
42,-404,29,4,5,265.5071839094162,262.40473172068596,11.043629050254822
43,-406,31,6,8,303.2230010032654,300.5537340641022,11.302845239639282
