position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,220,340,180,244,26.75462745130062,61.03362871706486,142.81631422042847
1,200,336,200,226,362.2587540894747,410.66269513964653,204.92608499526978
2,206,337,194,234,396.26693941652775,427.3693393021822,186.70860478281975
3,304,244,96,130,335.9021424949169,342.82833613455296,131.56202566623688
4,261,275,139,172,356.616739153862,345.09086023271084,147.64238783717155
5,307,235,93,121,362.72491778433323,340.06699369847775,124.35383927822113
6,298,243,102,130,395.40013386309147,369.68061327189207,125.52566024661064
7,325,239,75,124,398.5742187798023,370.5004412531853,120.44412377476692
8,338,230,62,119,347.58856450021267,nan,112.39080473780632
9,322,229,78,108,382.833476126194,nan,109.91202464699745
10,326,212,74,99,381.5967056751251,nan,97.16693145036697
11,349,196,51,81,327.16638354957104,nan,86.55640122294426
12,346,200,54,82,314.23046875,nan,83.44244682788849
13,344,194,56,64,386.98828125,nan,76.90708076953888
14,367,175,33,59,313.71484375,nan,65.25742888450623
15,321,229,79,110,386.8046875,nan,80.33845055103302
16,346,193,54,72,319.63671875,nan,64.66633887588978
17,336,200,64,79,376.57421875,nan,63.53208093345165
18,346,190,54,72,377.20703125,nan,58.42826062440872
19,360,184,40,63,341.37890625,nan,53.364072531461716
20,356,182,44,60,342.953125,nan,51.079310581088066
21,365,182,35,57,386.54296875,nan,50.062922939658165
22,371,172,29,47,324.7265625,nan,44.59917967021465
23,372,166,28,47,319.9453125,nan,41.303079932928085
24,370,172,30,49,363.9375,nan,42.74698908627033
25,373,165,27,35,337.5078125,nan,39.1065191924572
26,349,189,51,65,351.125,nan,43.224860563874245
27,366,175,34,50,319.20703125,nan,38.711687445640564
28,368,168,32,43,343.328125,nan,35.84478352218866
29,370,167,30,41,339.33203125,nan,34.85566286742687
30,365,173,35,48,331.1796875,nan,35.88296128809452
31,372,167,28,39,326.7734375,nan,33.63480353355408
32,369,169,31,40,348.8203125,nan,33.17199449241161
33,375,162,25,35,344.53515625,nan,31.36354237794876
34,369,173,31,43,357.90234375,nan,33.012363746762276
35,387,150,13,24,294.87890625,nan,27.200881995260715
36,366,171,34,44,366.5,nan,30.61902365088463
37,377,160,23,30,348.69921875,nan,28.138898499310017
38,383,154,17,24,341.09765625,nan,26.55185190588236
39,370,166,30,42,361.7578125,nan,28.611989468336105
40,380,157,20,29,335.41015625,nan,26.944034598767757
41,381,155,19,27,397.37890625,nan,25.891847148537636
42,383,153,17,24,349.30078125,nan,24.789753168821335
43,379,158,21,26,350.6484375,nan,25.785064592957497
44,387,156,13,27,393.39453125,nan,24.489176593720913
45,387,151,13,16,305.1015625,nan,23.45193486660719
46,389,153,11,26,355.078125,nan,23.961142227053642
47,384,154,16,27,342.69140625,nan,23.566267110407352
48,376,160,24,27,377.03125,nan,24.321750849485397
49,379,158,21,29,349.05078125,nan,23.39291025698185
50,391,146,9,13,309.7421875,nan,21.299770414829254
51,386,158,14,22,407.546875,nan,22.95545130968094
52,393,143,7,15,293.12109375,nan,20.879981093108654
53,385,152,15,25,356.33984375,nan,22.097363099455833
54,390,149,10,16,283.59375,nan,20.072589091956615
55,383,153,17,21,330.15234375,nan,21.00511883944273
56,391,145,9,15,297.5703125,nan,18.61967023462057
57,395,142,5,9,300.05859375,nan,18.626703642308712
58,391,146,9,12,337.0,nan,17.81170690059662
59,388,149,12,17,327.65234375,nan,18.3542088419199
60,385,151,15,18,377.26953125,nan,17.67546672746539
61,391,145,9,14,360.74609375,nan,17.40778298303485
62,387,149,13,17,335.44140625,nan,16.58899049460888
63,391,145,9,15,309.69140625,nan,16.252314426004887
64,394,142,6,10,309.296875,nan,15.062096379697323
65,389,149,11,16,303.30078125,nan,15.717433281242847
66,388,148,12,17,374.58203125,nan,15.307726874947548
67,392,144,8,10,336.875,nan,14.65944991633296
68,394,143,6,8,333.17578125,nan,13.464088525623083
69,391,146,9,12,355.1875,nan,13.225991148501635
70,388,148,12,14,392.33984375,nan,13.255233760923147
71,394,143,6,10,363.67578125,nan,12.434333804994822
72,392,146,8,13,341.7734375,nan,12.379673132672906
73,389,147,11,14,382.03125,nan,12.068652253597975
74,394,143,6,11,419.15234375,nan,11.728492030873895
75,394,142,6,11,340.59375,nan,10.923081077635288
76,397,140,3,9,359.1875,nan,10.806936338543892
77,394,142,6,6,352.91015625,nan,10.567352622747421
78,395,142,5,10,349.6015625,nan,10.317537069320679
79,395,141,5,8,336.71484375,nan,9.738135306164622
80,396,140,4,6,352.08203125,nan,9.114952770993114
81,399,138,1,4,370.33203125,nan,8.737244915217161
82,395,141,5,5,367.1171875,nan,9.121667886152864
83,393,143,7,9,373.140625,nan,8.80212638527155
84,398,138,2,2,375.59765625,nan,8.290016785264015
85,397,139,3,4,378.84765625,nan,7.843951776623726
86,396,140,4,4,291.5859375,nan,7.659153964370489
87,398,140,2,6,350.578125,nan,7.484461543150246
88,394,142,6,7,422.0234375,nan,7.284967377781868
89,395,141,5,6,381.15234375,nan,6.635901182889938
90,393,143,7,7,418.69921875,nan,7.388303331099451
91,397,139,3,5,343.62109375,nan,6.6098121870309114
92,395,141,5,7,327.78515625,nan,6.605169966816902
93,397,139,3,5,312.0234375,nan,6.023150276392698
94,396,140,4,5,371.27734375,nan,5.959759099408984
95,396,140,4,5,389.76953125,nan,5.855429291725159
96,397,139,3,4,386.34375,nan,5.6560918763279915
97,399,137,1,1,414.17578125,nan,5.238860049284995
98,397,139,3,4,314.125,nan,4.749680167995393
99,393,143,7,8,386.109375,nan,5.222495334222913
