winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
1,DeathDescription.LIFETOTAL,11,51.744937896728516,6,4,2,5,7,1
1,DeathDescription.LIFETOTAL,11,38.83934020996094,5,5,2,6,6,1
0,DeathDescription.LIFETOTAL,12,41.90540313720703,6,7,0,5,7,1
1,DeathDescription.LIFETOTAL,11,45.27425765991211,6,6,0,5,7,1
1,DeathDescription.LIFETOTAL,11,35.54987907409668,6,5,1,5,6,2
0,DeathDescription.LIFETOTAL,10,41.08858108520508,6,4,2,4,4,4
0,DeathDescription.LIFETOTAL,10,48.47836494445801,5,6,1,5,6,1
1,DeathDescription.LIFETOTAL,11,33.594369888305664,4,6,2,6,7,0
1,DeathDescription.LIFETOTAL,11,42.90604591369629,3,6,3,5,7,1
0,DeathDescription.LIFETOTAL,10,44.94881629943848,6,4,2,3,6,3
1,DeathDescription.LIFETOTAL,11,40.570974349975586,6,3,3,6,6,1
0,DeathDescription.LIFETOTAL,10,31.258583068847656,5,6,1,4,6,2
0,DeathDescription.LIFETOTAL,10,38.50531578063965,6,6,0,4,5,3
0,DeathDescription.LIFETOTAL,10,45.77827453613281,5,6,1,5,5,2
0,DeathDescription.LIFETOTAL,10,36.559104919433594,6,6,0,5,3,4
1,DeathDescription.LIFETOTAL,11,50.76098442077637,6,5,1,3,6,4
0,DeathDescription.LIFETOTAL,10,26.962757110595703,6,6,0,5,5,2
1,DeathDescription.LIFETOTAL,11,44.168949127197266,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,12,59.28158760070801,7,4,2,6,6,1
0,DeathDescription.LIFETOTAL,10,35.79449653625488,4,7,1,5,3,4
0,DeathDescription.LIFETOTAL,10,40.47203063964844,5,6,1,5,3,4
0,DeathDescription.LIFETOTAL,10,34.09147262573242,2,6,4,5,7,0
0,DeathDescription.LIFETOTAL,10,30.910015106201172,6,4,2,2,5,5
0,DeathDescription.LIFETOTAL,12,47.01662063598633,6,7,0,5,6,2
1,DeathDescription.LIFETOTAL,11,29.429197311401367,4,5,3,6,6,1
1,DeathDescription.LIFETOTAL,11,35.76850891113281,6,4,2,5,7,1
0,DeathDescription.LIFETOTAL,10,37.1248722076416,4,6,2,5,5,2
0,DeathDescription.LIFETOTAL,10,44.364213943481445,5,7,0,2,4,6
0,DeathDescription.LIFETOTAL,10,38.602590560913086,6,5,1,5,6,1
0,DeathDescription.LIFETOTAL,10,32.784461975097656,4,8,0,5,5,2
0,DeathDescription.LIFETOTAL,10,59.42988395690918,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,53.40385437011719,6,6,0,5,6,1
1,DeathDescription.LIFETOTAL,11,38.660526275634766,5,6,1,6,6,1
1,DeathDescription.LIFETOTAL,11,52.08230018615723,5,7,0,5,7,1
0,DeathDescription.LIFETOTAL,10,57.869672775268555,4,7,1,4,6,2
1,DeathDescription.LIFETOTAL,11,49.23820495605469,6,5,1,5,6,2
0,DeathDescription.LIFETOTAL,10,40.53497314453125,4,6,2,5,6,1
0,DeathDescription.LIFETOTAL,10,37.77456283569336,5,6,1,5,5,2
0,DeathDescription.LIFETOTAL,10,37.05859184265137,4,6,2,5,6,1
0,DeathDescription.LIFETOTAL,10,54.93879318237305,5,6,1,5,5,2
0,DeathDescription.LIFETOTAL,10,37.42384910583496,6,5,1,3,6,3
1,DeathDescription.LIFETOTAL,11,32.926082611083984,6,4,2,4,7,2
0,DeathDescription.LIFETOTAL,10,28.789758682250977,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,10,27.681589126586914,4,6,2,5,3,4
1,DeathDescription.LIFETOTAL,11,54.55589294433594,6,5,1,6,5,2
1,DeathDescription.LIFETOTAL,13,70.26267051696777,2,3,6,7,6,1
0,DeathDescription.LIFETOTAL,12,52.28543281555176,4,7,2,2,2,6
0,DeathDescription.LIFETOTAL,10,56.62250518798828,4,6,2,5,6,1
0,DeathDescription.LIFETOTAL,10,38.49649429321289,6,5,1,3,6,3
1,DeathDescription.LIFETOTAL,11,53.82895469665527,4,5,3,4,6,3
1,DeathDescription.LIFETOTAL,13,34.44385528564453,2,3,6,7,7,0
0,DeathDescription.LIFETOTAL,10,49.082040786743164,4,7,1,5,6,1
0,DeathDescription.LIFETOTAL,10,62.95490264892578,6,6,0,5,6,1
0,DeathDescription.LIFETOTAL,10,61.08832359313965,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,12,33.27631950378418,3,6,4,6,4,3
0,DeathDescription.LIFETOTAL,10,48.9809513092041,3,7,2,5,5,2
1,DeathDescription.LIFETOTAL,11,51.467180252075195,5,6,1,6,7,0
1,DeathDescription.LIFETOTAL,11,52.26850509643555,5,7,0,5,8,0
0,DeathDescription.LIFETOTAL,10,50.025224685668945,5,7,0,5,5,2
1,DeathDescription.LIFETOTAL,11,40.93480110168457,5,6,1,6,7,0
0,DeathDescription.LIFETOTAL,10,58.86054039001465,6,4,2,5,4,3
0,DeathDescription.LIFETOTAL,10,48.096656799316406,4,7,1,3,6,3
0,DeathDescription.LIFETOTAL,10,57.02471733093262,5,6,1,4,6,2
1,DeathDescription.LIFETOTAL,11,61.63644790649414,3,4,4,5,7,1
0,DeathDescription.LIFETOTAL,10,37.51730918884277,4,6,2,5,5,2
1,DeathDescription.LIFETOTAL,11,33.135175704956055,6,4,2,6,6,1
0,DeathDescription.LIFETOTAL,10,55.35078048706055,6,4,2,5,5,2
1,DeathDescription.LIFETOTAL,11,30.500411987304688,1,2,7,6,7,0
0,DeathDescription.LIFETOTAL,10,30.176401138305664,5,6,1,4,5,3
0,DeathDescription.LIFETOTAL,10,56.3511848449707,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,32.158613204956055,5,5,2,5,6,1
0,DeathDescription.LIFETOTAL,10,26.080608367919922,6,6,0,4,5,3
0,DeathDescription.LIFETOTAL,10,45.51863670349121,6,5,1,5,4,3
1,DeathDescription.LIFETOTAL,11,31.108856201171875,3,6,3,6,7,0
0,DeathDescription.LIFETOTAL,10,24.537324905395508,4,6,2,5,5,2
0,DeathDescription.LIFETOTAL,10,34.949302673339844,5,6,1,5,6,1
0,DeathDescription.LIFETOTAL,10,32.3183536529541,4,7,1,2,5,5
0,DeathDescription.LIFETOTAL,10,26.88884735107422,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,39.34073448181152,6,6,0,5,6,1
1,DeathDescription.LIFETOTAL,11,39.35980796813965,6,4,2,4,8,1
0,DeathDescription.LIFETOTAL,10,37.1251106262207,4,6,2,5,6,1
1,DeathDescription.LIFETOTAL,11,36.95082664489746,2,3,5,4,6,3
0,DeathDescription.LIFETOTAL,10,30.85923194885254,3,6,3,5,3,4
1,DeathDescription.LIFETOTAL,11,47.0120906829834,6,6,0,5,6,2
0,DeathDescription.LIFETOTAL,10,26.334762573242188,6,6,0,5,5,2
0,DeathDescription.LIFETOTAL,10,37.51802444458008,3,6,3,2,5,5
1,DeathDescription.LIFETOTAL,11,46.47946357727051,6,5,1,5,7,1
0,DeathDescription.LIFETOTAL,10,40.09604454040527,6,6,0,3,5,4
0,DeathDescription.LIFETOTAL,10,40.78364372253418,5,6,1,5,5,2
0,DeathDescription.LIFETOTAL,10,45.89581489562988,5,7,0,5,6,1
0,DeathDescription.LIFETOTAL,10,67.44766235351562,6,6,0,4,5,3
0,DeathDescription.LIFETOTAL,10,30.8990478515625,4,6,2,5,5,2
0,DeathDescription.LIFETOTAL,12,57.305097579956055,4,8,1,6,6,1
0,DeathDescription.LIFETOTAL,10,36.56363487243652,5,5,2,5,5,2
0,DeathDescription.LIFETOTAL,10,28.934478759765625,5,7,0,5,5,2
0,DeathDescription.LIFETOTAL,10,36.71073913574219,4,8,0,5,6,1
0,DeathDescription.LIFETOTAL,12,45.33958435058594,7,5,1,4,6,3
1,DeathDescription.LIFETOTAL,11,62.07990646362305,4,6,2,4,7,2
1,DeathDescription.LIFETOTAL,11,43.915510177612305,6,2,4,6,6,1
1,DeathDescription.LIFETOTAL,11,59.32927131652832,6,5,1,5,7,1
