winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.DECKING,67,842.5381183624268,1,0,7,9,2,7
0,DeathDescription.DECKING,67,826.218843460083,3,2,7,1,0,7
0,DeathDescription.DECKING,67,924.8487949371338,5,5,7,3,1,7
0,DeathDescription.DECKING,67,828.8156986236572,0,0,7,0,0,7
0,DeathDescription.DECKING,67,838.4716510772705,4,0,7,6,3,7
0,DeathDescription.DECKING,67,883.5659027099609,6,3,7,1,0,7
0,DeathDescription.DECKING,67,842.3163890838623,4,0,7,1,0,7
0,DeathDescription.DECKING,67,823.7700462341309,0,0,7,3,1,7
0,DeathDescription.DECKING,67,797.3518371582031,4,1,7,2,1,7
1,DeathDescription.LIFETOTAL,61,840.4178619384766,6,0,7,6,4,8
0,DeathDescription.DECKING,67,921.4046001434326,6,3,7,2,0,7
0,DeathDescription.DECKING,67,834.022045135498,1,0,7,0,0,7
0,DeathDescription.DECKING,67,880.5193901062012,1,0,7,4,2,7
0,DeathDescription.DECKING,67,911.1814498901367,1,0,7,1,0,7
0,DeathDescription.DECKING,67,918.3464050292969,1,0,7,3,1,7
0,DeathDescription.DECKING,67,1015.007734298706,9,1,7,6,0,7
0,DeathDescription.DECKING,67,961.16042137146,0,0,7,3,3,7
0,DeathDescription.DECKING,67,912.9912853240967,7,0,7,3,0,7
0,DeathDescription.DECKING,67,904.7751426696777,4,3,7,8,1,7
0,DeathDescription.DECKING,67,884.9945068359375,1,0,7,2,0,7
0,DeathDescription.DECKING,67,823.3115673065186,1,0,7,3,4,7
0,DeathDescription.DECKING,67,874.0742206573486,4,0,7,3,2,7
0,DeathDescription.DECKING,67,930.2566051483154,6,2,7,0,0,7
0,DeathDescription.DECKING,67,942.6772594451904,0,0,7,1,0,7
0,DeathDescription.DECKING,67,958.8007926940918,3,0,7,2,1,7
0,DeathDescription.DECKING,67,886.7268562316895,3,2,7,2,0,7
0,DeathDescription.DECKING,67,913.4256839752197,1,0,7,7,2,7
0,DeathDescription.DECKING,67,846.1346626281738,1,0,7,2,2,7
0,DeathDescription.DECKING,67,866.7283058166504,1,0,7,2,0,7
0,DeathDescription.DECKING,67,835.1974487304688,2,0,7,1,1,7
0,DeathDescription.DECKING,67,792.4797534942627,1,1,7,3,1,7
0,DeathDescription.DECKING,67,788.7587547302246,1,1,7,2,2,7
0,DeathDescription.DECKING,67,839.0264511108398,3,0,7,8,1,7
0,DeathDescription.DECKING,67,792.7858829498291,2,0,7,1,0,7
0,DeathDescription.DECKING,67,854.4731140136719,6,1,7,3,0,7
0,DeathDescription.DECKING,67,764.9617195129395,3,1,7,3,0,7
0,DeathDescription.DECKING,67,790.696382522583,0,0,7,4,0,7
0,DeathDescription.DECKING,67,834.3632221221924,7,2,7,0,0,7
0,DeathDescription.DECKING,67,925.8303642272949,2,0,7,8,3,7
0,DeathDescription.DECKING,67,807.3651790618896,3,2,7,4,1,7
0,DeathDescription.DECKING,67,771.9659805297852,1,0,7,2,0,7
0,DeathDescription.LIFETOTAL,64,928.9548397064209,5,2,8,3,0,7
0,DeathDescription.DECKING,67,836.9851112365723,2,0,7,3,0,7
0,DeathDescription.DECKING,67,852.8463840484619,5,2,7,0,0,7
0,DeathDescription.DECKING,67,752.9304027557373,1,1,7,0,0,7
0,DeathDescription.DECKING,67,839.3316268920898,8,0,7,8,5,7
0,DeathDescription.DECKING,67,845.6258773803711,6,3,6,1,0,7
0,DeathDescription.DECKING,67,789.6127700805664,2,2,7,0,0,7
0,DeathDescription.DECKING,67,782.8583717346191,3,1,7,1,0,7
0,DeathDescription.DECKING,67,837.590217590332,3,0,7,1,1,7
0,DeathDescription.DECKING,67,817.1558380126953,1,0,7,2,0,7
0,DeathDescription.DECKING,67,866.1911487579346,3,0,7,3,1,7
0,DeathDescription.DECKING,67,907.036542892456,1,0,7,1,0,7
0,DeathDescription.DECKING,67,765.5138969421387,5,4,7,1,0,7
0,DeathDescription.DECKING,67,836.9379043579102,2,1,7,1,0,7
0,DeathDescription.LIFETOTAL,58,794.6398258209229,8,2,8,0,0,7
0,DeathDescription.DECKING,67,817.0514106750488,0,0,7,1,1,7
0,DeathDescription.DECKING,67,799.5314598083496,2,0,7,0,0,7
0,DeathDescription.DECKING,67,892.4863338470459,3,0,7,3,0,7
0,DeathDescription.DECKING,67,888.0472183227539,7,1,7,2,0,7
0,DeathDescription.DECKING,67,802.5548458099365,2,1,7,4,2,7
0,DeathDescription.DECKING,67,899.5027542114258,1,1,7,1,0,7
0,DeathDescription.DECKING,67,811.2177848815918,1,0,7,0,0,7
