position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-46,61,36,42,,0,0
1,-50,65,40,46,,0,0
2,-40,59,30,36,15.493390023708344,19.08720773458481,51.71171945333481
3,-30,58,20,35,16.469082966446877,19.13048129528761,37.792366564273834
4,-36,52,26,36,14.720213130116463,17.75608965754509,32.271601378917694
5,-39,59,29,36,18.821916177868843,19.03485707938671,36.514700174331665
6,-52,68,42,49,22.1816523373127,19.642092011868954,41.51492369174957
7,-22,42,12,23,14.752182245254517,12.453390255570412,25.37187659740448
8,-38,63,28,42,21.541647046804428,17.8406435623765,37.56554025411606
9,-20,41,10,15,13.932570829987526,11.165695123374462,23.72491890192032
10,-26,41,16,23,14.22505359351635,10.904115989804268,22.84317797422409
11,-32,50,22,31,18.82660238444805,14.872491329908371,28.012305319309235
12,-21,40,11,14,14.846724569797516,11.243442237377167,22.458829641342163
13,-17,34,7,14,12.332576960325241,9.319748781621456,18.37706685066223
14,-25,45,15,20,16.31789430975914,12.462627485394478,24.20214480161667
15,-29,44,19,22,19.174576461315155,15.311918713152409,23.195348799228668
16,-21,49,11,19,20.34893999993801,15.68001538515091,25.71909937262535
17,-19,35,9,13,14.014136865735054,10.700671344995499,17.977596938610077
18,-17,32,7,11,12.844342440366745,10.158971473574638,16.033182471990585
19,-21,37,11,13,14.013273015618324,11.296044819056988,18.414217591285706
20,-21,40,11,16,16.78004091978073,13.643037274479866,19.590222537517548
21,-17,38,7,11,14.259652435779572,11.164237089455128,18.27498760819435
22,-26,41,16,20,16.86298707127571,13.290582031011581,19.84494972229004
23,-14,33,4,7,12.56160469353199,9.798700831830502,15.629018872976303
24,-14,29,4,6,11.443349584937096,9.176807627081871,14.091815799474716
25,-19,39,9,15,16.03035880625248,13.034553304314613,18.107326596975327
26,-17,36,7,8,14.624111577868462,12.23832742124796,16.450655847787857
27,-21,36,11,12,13.865176111459732,11.789964504539967,16.159415304660797
28,-15,30,5,7,12.725012004375458,11.205718755722046,13.36610758304596
29,-16,31,6,9,12.522869408130646,11.408249735832214,13.265904158353806
30,-26,41,16,18,16.53501871228218,15.470965296030045,17.720704674720764
31,-11,26,1,2,9.595153123140335,9.178954049944878,11.424223810434341
32,-12,31,2,5,12.624539360404015,12.654456362128258,12.994820415973663
33,-14,29,4,6,11.46484375,13.369918137788773,11.860327959060669
34,-11,27,1,3,11.30078125,13.507702231407166,11.200734585523605
35,-15,30,5,7,12.03515625,13.670987993478775,12.69241788983345
36,-13,28,3,6,11.671875,12.932149216532707,11.278919041156769
37,-14,29,4,6,10.86328125,12.078013837337494,11.952076315879822
38,-15,30,5,7,11.4609375,12.880103707313538,12.14068791270256
39,-16,40,6,9,15.76171875,17.124537378549576,16.25446978211403
40,-17,36,7,8,13.0234375,14.072412058711052,13.827188521623611
41,-14,29,4,4,11.4921875,12.374460883438587,11.281320244073868
42,-12,31,2,2,11.79296875,12.88766448199749,11.964282661676407
43,-12,27,2,5,10.24609375,11.400399252772331,10.481063961982727
44,-12,27,2,5,11.53125,13.596354737877846,10.393958419561386
45,-15,30,5,6,10.96484375,14.941297054290771,11.297930181026459
46,-11,26,1,3,10.4921875,13.673311278223991,9.606305807828903
47,-18,37,8,12,14.859375,19.292231991887093,13.461555510759354
48,-14,30,4,6,12.5859375,15.506151169538498,11.34792673587799
49,-14,33,4,7,13.859375,17.15140590071678,11.878415584564209
50,-14,34,4,6,12.4375,16.301425099372864,12.184444904327393
51,-13,28,3,5,12.140625,16.551700234413147,10.2563316822052
52,-14,33,4,4,13.609375,17.971930369734764,12.089056760072708
53,-13,28,3,3,10.390625,12.620632871985435,10.248513668775558
54,-11,31,1,3,10.3125,12.353520885109901,10.599694222211838
55,-13,28,3,4,10.66015625,12.766764760017395,9.751866519451141
56,-18,37,8,9,13.69140625,15.887160681188107,12.782664746046066
57,-14,37,4,8,13.6171875,15.615114957094193,12.63779403269291
58,-13,28,3,4,11.05078125,13.098370246589184,9.52997076511383
59,-17,36,7,7,14.2421875,17.030335813760757,12.032207697629929
60,-13,28,3,4,10.453125,12.287824973464012,9.089507937431335
61,-14,30,4,5,11.08984375,13.386125653982162,9.983684778213501
62,-10,26,0,3,9.00390625,10.551677323877811,8.875216394662857
63,-13,32,3,5,12.1171875,14.902573838829994,10.40527519583702
64,-10,29,0,1,10.8359375,13.34078834950924,9.431743204593658
65,-13,28,3,3,12.44140625,16.064959079027176,9.345882177352905
66,-10,29,0,1,9.890625,12.119705066084862,8.998789519071579
67,-12,31,2,3,11.9375,15.111324675381184,9.608227550983429
68,-12,31,2,2,11.5,14.609270244836807,9.525187030434608
69,-11,26,1,1,9.2421875,12.002570509910583,7.85089199244976
70,-10,25,0,0,9.7734375,13.023649007081985,7.460310325026512
71,-12,31,2,2,12.89453125,17.612214833498,8.922564089298248
72,-11,26,1,3,9.7578125,13.246971845626831,8.03395690023899
73,-11,30,1,1,12.296875,16.98245583474636,8.938087597489357
74,-13,32,3,3,11.3828125,15.354588106274605,9.596319019794464
75,-12,27,2,2,10.88671875,15.204338252544403,8.114280641078949
76,-11,27,1,2,11.4375,16.42623908817768,7.8693642020225525
77,-10,25,0,0,10.59375,15.303661078214645,7.380852490663528
78,-10,25,0,0,10.14453125,26.055205643177032,7.01273749768734
79,-10,25,0,0,9.06640625,22.24670711159706,7.3009640872478485
80,-11,26,1,1,9.6796875,16.052832037210464,7.224828407168388
81,-10,25,0,0,8.80859375,14.369321495294571,6.978429168462753
82,-10,29,0,2,11.578125,28.930125921964645,8.197491779923439
83,-10,25,0,0,9.68359375,31.261648297309875,6.720571726560593
84,-10,25,0,0,8.41015625,21.613266050815582,6.927984520792961
85,-10,25,0,1,9.40234375,18.052233040332794,6.8425396382808685
86,-12,31,2,3,11.52734375,19.80507320165634,8.029682010412216
87,-11,26,1,2,8.5703125,17.039456099271774,6.8098921328783035
88,-12,27,2,2,10.46484375,17.306692332029343,7.286195412278175
89,-11,26,1,1,10.39453125,15.688931092619896,7.274321883916855
90,-10,25,0,0,10.55078125,15.462186485528946,6.504640504717827
91,-12,31,2,2,11.44140625,16.468870520591736,7.837582170963287
92,-12,31,2,2,11.9375,17.357730984687805,7.743496730923653
93,-12,31,2,2,10.69140625,15.729700535535812,7.565320625901222
94,-11,26,1,1,10.30859375,15.774083197116852,6.748117133975029
95,-12,27,2,2,10.23046875,15.410774990916252,6.806206405162811
96,-10,29,0,1,9.58203125,15.938183397054672,7.408504948019981
97,-10,25,0,0,9.73828125,18.487282156944275,6.3924722373485565
98,-11,26,1,1,9.98828125,34.587176740169525,6.083075672388077
99,-10,29,0,0,10.41015625,43.79786533117294,6.871245667338371
