winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,155.9011936187744,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,145.59173583984375,5,5,2,5,3,4
1,DeathDescription.LIFETOTAL,11,151.20244026184082,4,4,4,6,5,2
1,DeathDescription.LIFETOTAL,11,155.03501892089844,6,3,3,5,5,3
0,DeathDescription.LIFETOTAL,10,140.84982872009277,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,143.96333694458008,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,141.4356231689453,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,147.98426628112793,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,10,138.31305503845215,4,3,5,5,2,5
0,DeathDescription.LIFETOTAL,10,147.47285842895508,6,5,1,5,2,5
0,DeathDescription.LIFETOTAL,10,145.97082138061523,6,6,0,5,4,3
0,DeathDescription.LIFETOTAL,10,176.30839347839355,6,4,2,5,4,3
1,DeathDescription.LIFETOTAL,11,144.2422866821289,6,3,3,6,5,2
0,DeathDescription.LIFETOTAL,10,141.87383651733398,4,5,3,4,4,4
0,DeathDescription.LIFETOTAL,10,136.6555690765381,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,151.89719200134277,4,5,3,5,3,4
1,DeathDescription.LIFETOTAL,11,160.81523895263672,6,3,3,5,5,3
0,DeathDescription.LIFETOTAL,12,171.0188388824463,7,5,1,6,4,3
0,DeathDescription.LIFETOTAL,10,135.1485252380371,4,5,3,4,4,4
0,DeathDescription.LIFETOTAL,10,144.71721649169922,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,148.30374717712402,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,14,181.49733543395996,5,2,7,6,5,3
0,DeathDescription.LIFETOTAL,10,173.89273643493652,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,162.75930404663086,6,4,2,5,3,4
0,DeathDescription.LIFETOTAL,10,135.15186309814453,4,5,3,4,4,4
1,DeathDescription.LIFETOTAL,11,165.49944877624512,5,4,3,6,6,1
1,DeathDescription.LIFETOTAL,11,175.95171928405762,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,133.6648464202881,3,3,6,4,4,4
0,DeathDescription.LIFETOTAL,10,142.2715187072754,5,5,2,4,4,4
0,DeathDescription.LIFETOTAL,10,145.74790000915527,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,167.66595840454102,6,5,1,3,4,5
0,DeathDescription.LIFETOTAL,10,161.8056297302246,4,5,3,3,4,5
0,DeathDescription.LIFETOTAL,12,167.6931381225586,4,5,4,6,2,5
0,DeathDescription.LIFETOTAL,12,173.71273040771484,6,5,2,4,3,6
0,DeathDescription.LIFETOTAL,10,151.41582489013672,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,129.0912628173828,6,4,2,4,3,5
0,DeathDescription.LIFETOTAL,10,147.59254455566406,5,6,1,5,2,5
0,DeathDescription.LIFETOTAL,10,150.38418769836426,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,148.55360984802246,6,6,0,5,3,4
0,DeathDescription.LIFETOTAL,10,148.27346801757812,5,4,3,5,4,3
1,DeathDescription.LIFETOTAL,11,155.5652618408203,4,4,4,4,5,4
0,DeathDescription.LIFETOTAL,10,152.99391746520996,5,6,1,4,5,3
0,DeathDescription.LIFETOTAL,10,143.88632774353027,5,4,3,5,3,4
0,DeathDescription.LIFETOTAL,10,136.7936134338379,6,5,1,2,2,7
1,DeathDescription.LIFETOTAL,11,152.74405479431152,3,2,5,4,5,4
