position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-429,58,29,39,,0,0
1,-422,47,22,31,,0,0
2,-437,62,37,44,235.00986433029175,234.47476363182068,31.883767068386078
3,-457,83,57,67,509.343569368124,506.7575364485383,52.76293283700943
4,-437,70,37,56,386.04013708233833,382.92427656054497,42.86249715089798
5,-456,82,56,64,459.1403615921736,456.4337560161948,48.76881647109985
6,-438,65,38,52,394.53326097130775,391.60374381393194,37.13463318347931
7,-446,72,46,59,429.80172315984964,426.9840362891555,39.49819749593735
8,-447,73,47,54,379.338524967432,377.0384926497936,38.44552409648895
9,-454,80,54,64,527.2216963842511,523.9272914081812,40.760275304317474
10,-433,58,33,40,364.60914497822523,362.020878829062,28.7367043197155
11,-439,70,39,53,366.30853755772114,363.06140311807394,34.21817681193352
12,-435,65,35,51,385.2877025306225,381.332652322948,31.606868505477905
13,-418,43,18,24,213.08626082539558,210.71572513133287,20.68566209077835
14,-434,66,34,49,364.25587324798107,359.7634644135833,30.866008937358856
15,-442,77,42,59,438.3164722472429,432.9321888387203,36.25607115030289
16,-420,45,20,30,276.68465024232864,273.4011406004429,20.987432062625885
17,-457,85,57,69,544.2946414500475,536.5818982794881,40.481342643499374
18,-418,47,18,23,305.78205512464046,301.44155503064394,21.730692863464355
19,-437,66,37,41,415.6056073606014,409.3353406563401,30.37631356716156
20,-406,31,6,6,187.02644781768322,184.062105640769,13.846417546272278
21,-419,44,19,23,280.59348383545876,275.9779265448451,19.446306347846985
22,-407,36,7,12,197.64638386666775,193.92633646726608,15.99962306022644
23,-435,60,35,40,371.0154004842043,364.6608220413327,26.559681951999664
24,-404,30,4,12,202.6145367771387,199.5791162699461,13.44364818930626
25,-427,52,27,29,354.2383474558592,348.5611322745681,22.832055509090424
26,-407,32,7,8,212.94450560212135,209.1792842000723,13.70434558391571
27,-404,29,4,6,202.985280752182,199.6234322488308,12.442931681871414
28,-404,29,4,4,202.98927688598633,199.5790283381939,11.681325912475586
29,-403,28,3,4,200.0217460244894,196.3928183540702,11.04902845621109
30,-403,32,3,5,194.9073328524828,190.60702588409185,12.313827812671661
31,-406,31,6,8,253.80962866544724,249.81079353392124,11.614482581615448
32,-403,28,3,4,190.69142603874207,186.9901852607727,10.533713281154633
33,-404,29,4,4,259.68415381014347,255.7511018961668,10.766484320163727
34,-402,27,2,6,199.72249500453472,196.32357688993216,10.10860887169838
35,-406,32,6,8,250.88684983551502,246.62906316667795,11.676348596811295
