position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-511,279,111,171,17.731581576168537,18.07698253542185,95.37468010187149
1,-539,279,139,170,299.9883563965559,296.66854153573513,168.4078535437584
2,-489,227,89,120,313.220057554543,311.30843672156334,126.33510792255402
3,-497,248,97,137,416.3355467095971,422.7033768221736,134.0930181145668
4,-484,230,84,115,359.7089926749468,377.19882552325726,121.77289402484894
5,-492,251,92,145,406.54546143114567,407.77712958306074,133.0366421341896
6,-469,205,69,98,313.77976728230715,312.7624461725354,109.02073019742966
7,-471,208,71,99,378.5901614576578,379.01692628860474,108.69441112875938
8,-467,209,67,103,378.99662678688765,376.8827207237482,107.51429921388626
9,-471,205,71,101,306.5582650154829,302.55574315041304,104.83906799554825
10,-456,204,56,89,349.15249782800674,343.58897767961025,101.96340388059616
11,-475,215,75,99,420.2676565423608,415.5543371811509,105.1487946510315
12,-458,194,58,80,359.99861216545105,356.1162376627326,92.81799626350403
13,-446,189,46,76,339.88318383693695,336.0863510891795,88.51657125353813
14,-449,183,49,68,350.492871299386,347.5993734821677,84.16474270820618
15,-447,195,47,80,364.883733689785,361.622962705791,88.1473617553711
16,-450,184,50,67,374.6878779530525,371.91931618750095,79.14529567956924
17,-443,177,43,60,348.8213316947222,346.282143548131,74.677669942379
18,-447,194,47,70,419.4621524512768,416.71091205626726,78.81537067890167
19,-435,176,35,55,360.14316929131746,357.84135342389345,67.81531688570976
20,-426,161,26,40,372.67492935061455,370.7160475924611,59.06006407737732
21,-442,179,42,56,378.7295465916395,376.7620046213269,60.98906195163727
22,-429,175,29,54,348.9469065964222,347.41514478623867,56.814654022455215
23,-440,177,40,53,386.18953074514866,385.039538256824,53.21125818789005
24,-443,180,43,57,318.89252050220966,317.5733793005347,51.953857734799385
25,-441,176,41,44,361.6783282905817,360.23186767846346,48.6349260956049
26,-428,173,28,44,354.0334922969341,353.1467547416687,45.298227578401566
27,-432,166,32,44,312.2100193351507,311.67126755416393,42.05438441038132
28,-440,175,40,48,397.37027664482594,396.75078615546227,42.47999265789986
29,-438,172,38,49,390.311769425869,389.9575459957123,38.89954324066639
30,-432,166,32,43,273.85495218634605,273.401809476316,36.937786281108856
31,-422,158,22,35,344.0228761434555,343.7895640581846,34.13676144182682
32,-421,157,21,34,324.68750297278166,324.30134627223015,33.3001129925251
33,-423,157,23,29,343.89835265278816,343.2539203390479,32.773636013269424
34,-420,154,20,27,264.6482047587633,264.36005970835686,30.08563733845949
35,-422,160,22,35,337.20681953430176,336.7798919379711,30.52794548869133
36,-407,142,7,13,309.671752974391,309.12887831032276,27.013915330171585
37,-416,157,16,32,364.0701445788145,363.9760699495673,28.50686513632536
38,-424,161,24,31,398.64419021457434,398.5713729187846,28.635056003928185
39,-418,154,18,25,354.00776881724596,353.96491676568985,26.728938899934292
40,-432,166,32,41,408.84761723876,408.37152813374996,28.410790897905827
41,-421,155,21,25,291.99593110382557,291.6489826068282,25.776785023510456
42,-420,154,20,27,344.2968367114663,343.9981766268611,24.849951468408108
43,-421,158,21,29,335.49988996982574,335.09369664639235,24.652103416621685
44,-417,156,17,29,334.6171557456255,334.4107375815511,24.30138961225748
45,-409,147,9,16,352.0468448251486,352.04660093039274,22.287646047770977
46,-423,159,23,32,353.1132403835654,352.9364596903324,24.247286573052406
47,-421,156,21,27,327.94529604911804,327.72803784161806,23.778476558625698
48,-414,148,14,16,336.1757464706898,335.93550246953964,21.619824208319187
49,-408,143,8,22,413.3202359378338,413.29647609591484,20.678460091352463
50,-415,151,15,23,348.87888542562723,348.7136943489313,21.53485779464245
51,-420,154,20,26,320.7108983397484,320.7645510286093,22.00123593211174
52,-411,145,11,14,304.0156017690897,303.7938312962651,20.309032566845417
53,-415,149,15,21,335.58984383940697,335.362327799201,20.44135946035385
54,-412,146,12,15,350.4140625447035,350.35719183832407,19.656681314110756
55,-411,146,11,17,346.98046875,346.798834644258,19.386241264641285
56,-406,141,6,11,305.5781250074506,305.5741154998541,17.91266518831253
57,-409,144,9,14,390.0703125,390.15309745818377,18.414395958185196
58,-404,139,4,10,336.06640625,336.23801988363266,16.540361531078815
59,-414,150,14,25,336.5546875,336.7788759097457,17.81190414354205
60,-412,151,12,19,311.4140625,311.8589942380786,17.558734077960253
61,-412,146,12,17,357.3359375,357.70268892496824,16.59196489304304
62,-413,147,13,17,329.0546875,329.48034089803696,16.91344380378723
63,-410,144,10,11,365.98828125,366.2842223793268,15.346930731087923
64,-405,141,5,11,352.828125,353.4224728271365,15.17824773862958
65,-405,141,5,10,355.52734375,356.21158093959093,14.036539867520332
66,-414,148,14,15,402.5390625,403.45665499940515,15.12702388688922
67,-410,144,10,14,333.94921875,334.8323092870414,14.127417754381895
68,-411,145,11,12,367.52734375,368.4296522811055,13.992213923484087
69,-409,143,9,13,283.05078125,283.7598949186504,13.548062089830637
70,-409,144,9,10,341.98828125,342.79642536491156,12.576779328286648
71,-407,142,7,9,366.6875,367.32604091614485,12.150137484073639
72,-408,142,8,9,431.84765625,432.65861731395125,10.935380041599274
73,-410,144,10,11,375.48046875,376.4288234896958,11.52196928858757
74,-408,142,8,9,322.32421875,323.08345088362694,11.052658151835203
75,-408,144,8,13,381.32421875,382.4555694013834,11.246441751718521
76,-408,143,8,11,325.1875,326.06921146064997,10.612683167681098
77,-405,140,5,9,365.12109375,366.1082169190049,9.878439778462052
78,-407,143,7,16,346.37109375,347.3283998556435,9.902089448645711
79,-405,140,5,7,342.6640625,343.7306432388723,9.585049666464329
80,-405,140,5,7,345.92578125,347.0051508843899,9.636017601937056
81,-410,144,10,12,314.60546875,315.75011502206326,9.523341473191977
82,-405,140,5,8,338.95703125,340.1757985278964,8.818089226260781
83,-407,141,7,7,391.93359375,393.06844606623054,8.785850899294019
84,-405,140,5,11,388.6953125,389.91689386963844,8.363130463287234
85,-402,137,2,4,341.6171875,342.796542648226,8.395130540244281
86,-404,138,4,4,375.6015625,376.8617161139846,7.527322959154844
87,-402,137,2,6,350.55078125,351.7931296750903,7.361996693536639
88,-404,138,4,7,428.50390625,429.60203073360026,7.6667981166392565
89,-407,141,7,10,350.26171875,351.3798546884209,7.2631406923756
90,-405,139,5,7,340.53125,341.7437466401607,6.980163281783462
91,-406,140,6,8,387.50390625,388.6393124666065,6.961487407796085
92,-400,135,0,4,340.171875,341.42631651833653,6.174341768026352
93,-400,135,0,2,377.32421875,378.53822470642626,6.217798709869385
94,-403,137,3,5,352.5390625,353.53868562169373,5.873141273856163
95,-405,139,5,5,427.01953125,428.10073358006775,6.080863732844591
96,-402,136,2,3,370.9140625,371.91579186171293,5.859892448410392
97,-405,140,5,9,348.8046875,349.9471064507961,5.795676935464144
98,-404,138,4,5,382.6015625,383.70564151369035,5.073980780318379
99,-402,137,2,4,360.8203125,361.86463153362274,5.558812794275582
