winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
1,DeathDescription.LIFETOTAL,13,30.211448669433594,4,5,4,6,5,3
0,DeathDescription.LIFETOTAL,10,26.457548141479492,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,26.108264923095703,6,5,1,2,3,7
1,DeathDescription.LIFETOTAL,11,30.7314395904541,5,5,2,4,5,4
0,DeathDescription.LIFETOTAL,10,47.51777648925781,4,5,3,4,0,7
0,DeathDescription.LIFETOTAL,14,25.077342987060547,3,5,6,7,2,5
0,DeathDescription.LIFETOTAL,12,34.16109085083008,7,4,2,3,4,6
1,DeathDescription.LIFETOTAL,11,23.35357666015625,3,2,6,3,5,5
1,DeathDescription.LIFETOTAL,13,26.028156280517578,5,2,5,6,7,1
0,DeathDescription.LIFETOTAL,10,27.56357192993164,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,26.41892433166504,5,5,2,5,4,3
1,DeathDescription.LIFETOTAL,11,44.66080665588379,6,4,2,4,5,4
1,DeathDescription.LIFETOTAL,11,29.068708419799805,6,4,2,5,6,2
0,DeathDescription.LIFETOTAL,10,20.17688751220703,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,32.33814239501953,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,37.18113899230957,5,4,3,4,4,4
0,DeathDescription.LIFETOTAL,10,38.83719444274902,6,6,0,5,4,3
1,DeathDescription.LIFETOTAL,11,22.203922271728516,5,4,3,6,6,1
0,DeathDescription.LIFETOTAL,12,23.3156681060791,6,5,2,6,4,3
1,DeathDescription.LIFETOTAL,13,40.372371673583984,3,1,6,4,5,5
0,DeathDescription.LIFETOTAL,12,24.47819709777832,7,5,1,6,3,4
1,DeathDescription.LIFETOTAL,11,22.20463752746582,5,4,3,6,5,2
0,DeathDescription.LIFETOTAL,16,32.53746032714844,7,8,0,5,2,5
0,DeathDescription.LIFETOTAL,10,27.174949645996094,5,5,2,3,0,7
0,DeathDescription.LIFETOTAL,10,27.478456497192383,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,21.48127555847168,5,6,1,4,3,5
1,DeathDescription.LIFETOTAL,11,29.04200553894043,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,12,23.6818790435791,5,6,2,3,1,6
1,DeathDescription.LIFETOTAL,11,22.517919540405273,3,0,7,6,6,1
0,DeathDescription.LIFETOTAL,12,39.46542739868164,6,6,1,5,3,4
1,DeathDescription.LIFETOTAL,11,23.713350296020508,6,4,2,6,5,2
1,DeathDescription.LIFETOTAL,11,43.12539100646973,6,3,3,6,5,2
1,DeathDescription.LIFETOTAL,11,41.33129119873047,3,3,6,6,5,2
0,DeathDescription.LIFETOTAL,10,30.93552589416504,3,5,4,5,4,3
0,DeathDescription.LIFETOTAL,10,40.13705253601074,5,5,2,4,1,6
0,DeathDescription.LIFETOTAL,10,42.31977462768555,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,32.00697898864746,5,5,2,5,5,2
0,DeathDescription.LIFETOTAL,10,30.77077865600586,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,30.72667121887207,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,49.44133758544922,4,5,3,4,0,7
0,DeathDescription.LIFETOTAL,10,36.95940971374512,5,5,2,4,3,4
1,DeathDescription.LIFETOTAL,11,29.24323081970215,6,4,2,6,4,3
0,DeathDescription.LIFETOTAL,10,26.083946228027344,6,4,2,5,2,5
0,DeathDescription.LIFETOTAL,10,38.74850273132324,5,5,2,5,1,6
0,DeathDescription.LIFETOTAL,10,41.671037673950195,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,28.847455978393555,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,26.122570037841797,4,5,3,5,2,5
1,DeathDescription.LIFETOTAL,11,31.3875675201416,5,4,3,6,6,1
0,DeathDescription.LIFETOTAL,10,27.11629867553711,5,5,2,3,2,6
0,DeathDescription.LIFETOTAL,10,22.226572036743164,5,6,1,5,3,4
0,DeathDescription.LIFETOTAL,10,27.992963790893555,6,4,2,5,5,2
1,DeathDescription.LIFETOTAL,11,45.5775260925293,5,4,3,6,6,1
0,DeathDescription.LIFETOTAL,12,23.91982078552246,4,5,4,6,2,5
0,DeathDescription.LIFETOTAL,10,26.55196189880371,4,5,3,5,4,3
