position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,254,314,146,211,28.12009286880493,27.184710294008255,119.70648437738419
1,265,276,135,169,309.45043370872736,300.86895956099033,165.0410035252571
2,292,256,108,141,296.6514037773013,295.4429422393441,143.1699756383896
3,289,256,111,142,363.0670568048954,nan,138.97604754567146
4,316,235,84,119,369.04861806333065,nan,124.42047065496445
5,285,251,115,137,328.3859501183033,nan,129.45755419135094
6,323,219,77,100,374.8457371890545,nan,109.21965193748474
7,334,219,66,104,358.17053577303886,nan,105.5001186132431
8,332,206,68,96,383.0043234974146,nan,99.04539752006531
9,314,234,86,118,349.6702723056078,nan,109.59382250905037
10,330,206,70,86,372.4518347531557,nan,94.5629857480526
11,361,190,39,70,374.453125,nan,84.51510307192802
12,345,203,55,85,369.50633127987385,nan,88.2481319308281
13,332,217,68,99,423.8720669001341,nan,92.06033098697662
14,356,191,44,69,397.28855492174625,nan,78.66140893101692
15,357,185,43,66,364.21875,nan,72.92550966143608
16,363,179,37,55,297.16796875,nan,68.71048298478127
17,350,189,50,66,366.60546875,nan,68.03094732761383
18,356,183,44,59,328.1171875,nan,63.24538257718086
19,362,180,38,60,414.76953125,nan,57.758453980088234
20,369,175,31,54,338.328125,nan,52.22657169401646
21,352,184,48,59,395.5078125,nan,51.77094441652298
22,356,184,44,62,357.56640625,nan,48.86982375383377
23,378,164,22,39,282.15625,nan,42.0807041823864
24,375,163,25,43,322.6796875,nan,40.20842419564724
25,364,174,36,46,330.09765625,nan,40.82020956277847
26,356,180,44,54,352.765625,nan,39.9873173981905
27,354,187,46,68,397.38671875,nan,40.654560416936874
28,367,170,33,48,344.140625,nan,35.32427267730236
29,374,164,26,36,361.890625,nan,33.599052891135216
30,370,168,30,43,327.8671875,nan,33.110913932323456
31,374,163,26,35,273.8515625,nan,31.75712598860264
32,367,170,33,38,346.14453125,nan,31.234516501426697
33,363,173,37,46,383.7068639844656,nan,31.99412816017866
34,376,160,24,34,363.34375,nan,28.19030398875475
35,365,171,35,41,342.56640625,nan,29.48549509048462
36,367,171,33,44,433.16796875,nan,28.60659822076559
37,371,166,29,34,338.60546875,nan,27.65722929686308
38,385,156,15,27,299.51953125,nan,25.654094271361828
39,359,180,41,49,364.7689838036895,nan,29.00273421406746
40,388,155,12,26,342.11050306260586,nan,25.061979480087757
41,385,151,15,21,363.8515625,nan,23.562389366328716
42,379,157,21,26,302.0390625,nan,24.126749210059643
43,379,157,21,27,319.63671875,nan,23.752892188727856
44,376,164,24,34,358.3046875,nan,24.366129867732525
45,385,151,15,22,331.92578125,nan,22.264366075396538
46,389,151,11,25,350.49609375,nan,22.114914260804653
47,378,159,22,29,347.7109375,nan,23.241924166679382
48,383,154,17,25,350.21875,nan,22.195034720003605
49,380,157,20,24,328.33203125,nan,22.755167447030544
50,382,154,18,21,302.8828125,nan,21.47664500772953
51,378,159,22,26,428.0,nan,21.671646177768707
52,391,146,9,13,319.7265625,nan,18.847400806844234
53,385,151,15,21,414.37890625,nan,20.202321775257587
54,389,149,11,16,392.81640625,nan,20.15778375416994
55,395,145,5,13,391.0625,nan,17.816530235111713
56,389,149,11,13,319.36328125,nan,18.754638992249966
57,381,158,19,26,400.8203125,nan,19.15786611288786
58,392,144,8,11,337.16015625,nan,16.789969466626644
59,393,146,7,13,396.12109375,nan,17.363845586776733
60,392,144,8,12,301.8046875,nan,16.210726480931044
61,393,145,7,11,304.40234375,nan,15.79638421535492
62,393,144,7,12,412.90234375,nan,14.674318604171276
63,389,149,11,16,363.66015625,nan,15.548051122575998
64,393,144,7,13,303.59765625,nan,15.16219524666667
65,394,146,6,13,312.81640625,nan,14.406003784388304
66,394,147,6,15,359.3359375,nan,13.707103583961725
67,394,143,6,8,345.703125,nan,13.349448662251234
68,392,146,8,15,342.90625,nan,13.631202030926943
69,389,148,11,14,405.12890625,nan,12.629595380276442
70,390,146,10,13,317.01171875,nan,12.559110473841429
71,393,144,7,10,329.09765625,nan,11.7709054723382
72,393,146,7,13,360.0,nan,11.879341140389442
73,386,150,14,14,385.55859375,nan,12.391666200011969
74,390,146,10,13,354.171875,nan,10.967550154775381
75,392,144,8,11,415.87890625,nan,10.64980130456388
76,389,148,11,14,371.83203125,nan,10.601963646709919
77,398,138,2,3,308.66015625,nan,9.303777549415827
78,394,142,6,8,383.4765625,nan,9.455037733539939
79,394,142,6,6,374.17578125,nan,9.215976832434535
80,394,143,6,11,373.87109375,nan,9.35156174004078
81,399,138,1,4,354.625,nan,8.329866176471114
82,393,144,7,9,389.2578125,nan,8.1719214245677
83,394,142,6,7,395.23046875,nan,8.251011518761516
84,396,141,4,6,388.78125,nan,7.753500424325466
85,398,141,2,9,369.9609375,nan,7.562459194101393
86,394,143,6,9,363.51171875,nan,7.897215873003006
87,396,140,4,6,366.23828125,nan,7.333564672619104
88,396,140,4,5,313.0625,nan,7.064325614832342
89,396,140,4,7,384.58203125,nan,6.870509686879814
90,394,142,6,7,456.38671875,nan,6.7990866843611
91,394,142,6,7,412.4609375,nan,6.431499223224819
92,396,140,4,6,331.125,nan,6.157963424921036
93,396,140,4,6,346.46875,nan,5.893334932625294
94,397,139,3,4,358.98046875,nan,5.84753093495965
95,395,141,5,6,380.69140625,nan,5.421065945643932
96,393,143,7,11,365.015625,nan,5.5570037523284554
97,397,139,3,6,386.640625,nan,5.344895169138908
98,398,140,2,4,417.78125,nan,4.973528441507369
99,397,139,3,7,326.5859375,nan,4.605792390648276
