position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-532,272,132,169,18.650111585855484,26.272494852542877,105.08154463768005
1,-493,241,93,141,299.8917069584131,318.43669125437737,151.22792220115662
2,-497,234,97,118,400.9651527479291,418.75138545036316,132.5207890868187
3,-492,247,92,136,390.0613910034299,407.9635913223028,132.31141757965088
4,-512,251,112,141,384.77407175302505,399.39850498735905,133.13656055927277
5,-476,219,76,107,331.64889838546515,343.1788128018379,112.95784613490105
6,-452,205,52,92,360.38394728302956,366.7905790358782,105.50456660985947
7,-461,197,61,81,320.73836947977543,323.6197373867035,98.11201637983322
8,-468,224,68,111,367.5220859646797,368.186986297369,109.2816554903984
9,-469,203,69,84,316.9981662482023,316.43757551908493,98.00467574596405
10,-472,217,72,106,395.2050412297249,393.80779491364956,102.60900726914406
11,-448,187,48,72,339.63556200265884,338.0368535667658,86.0141950249672
12,-449,202,49,89,417.116596698761,414.9741141796112,92.38030579686165
13,-481,215,81,98,393.49854116141796,391.131315626204,94.12597519159317
14,-437,176,37,66,305.1484375,303.1462229937315,74.06819728016853
15,-461,197,61,78,449.53125,447.2780853882432,80.35274243354797
16,-439,185,39,67,352.8203125,350.7842842116952,73.34884059429169
17,-460,202,60,90,387.1875054836273,385.0591372922063,77.04154941439629
18,-460,205,60,88,470.8828125,469.3507612720132,73.74066722393036
19,-437,181,37,59,351.55859375,350.21801609545946,60.158190816640854
20,-436,176,36,53,372.12109375,370.8856913000345,54.255893856287
21,-424,169,24,51,333.0546875,331.91162860393524,49.92354601621628
22,-435,177,35,58,317.82421875,316.6409093812108,49.192656725645065
23,-437,173,37,44,326.0390625,324.93850477039814,46.46303477883339
24,-422,162,22,39,361.78125,360.7884354442358,41.038761496543884
25,-433,172,33,43,381.91015625,380.825986802578,40.852479472756386
26,-430,167,30,44,340.19921875,339.1929972246289,38.314151272177696
27,-438,173,38,46,337.20703125,336.1576769724488,37.848410189151764
28,-415,160,15,35,350.890625,349.96593004465103,33.614343374967575
29,-442,176,42,53,381.109375,380.13923132419586,35.2354861497879
30,-417,154,17,33,321.6640625,320.8330989778042,29.599074847996235
31,-427,163,27,40,288.29296875,287.464412137866,30.213355854153633
32,-436,171,36,45,341.93359375,341.0349588021636,30.29511446505785
33,-431,165,31,41,356.78515625,355.94410391151905,29.378723591566086
34,-420,154,20,33,339.484375,338.71117305755615,26.38598022609949
35,-426,163,26,34,402.96484375,402.1269345730543,27.309067972004414
36,-417,151,17,23,344.6796875,343.9649105221033,24.695563778281212
37,-411,156,11,35,298.51171875,297.74867786467075,25.166990719735622
38,-416,153,16,26,328.75390625,328.06861540675163,24.482898384332657
39,-417,151,17,23,387.91796875,387.19358591735363,23.565310537815094
40,-414,148,14,19,334.203125,333.49310451745987,21.548603408038616
41,-420,155,20,27,368.6640625,367.9817763790488,23.435773327946663
42,-413,148,13,18,345.7265625,345.07837833836675,21.415674544870853
43,-416,153,16,27,361.5546875,360.8883039280772,22.08654396235943
44,-413,150,13,19,326.9296875,326.2570216804743,21.010697565972805
45,-420,155,20,27,346.21875,345.60004564747214,21.705759041011333
46,-410,144,10,15,322.87890625,322.29547549784184,20.405494414269924
47,-415,150,15,22,307.78125,307.1917936578393,20.09934777021408
48,-413,148,13,19,304.390625,303.81482312083244,19.437286227941513
49,-426,160,26,30,383.83984375,383.1958893239498,21.368284799158573
50,-420,154,20,26,279.859375,279.2263267636299,20.74615414068103
51,-425,159,25,29,386.73828125,386.11572670191526,21.039122607558966
52,-418,156,18,25,385.73046875,385.12274999544024,19.670658089220524
53,-413,147,13,17,350.03125,349.5216280668974,18.360446356236935
