position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-428,53,28,34,,0,0
1,-413,40,13,22,,0,0
2,-434,66,34,44,190.20141553878784,190.41670203208923,21.434638917446136
3,-427,53,27,33,333.96431671082973,334.35683593153954,33.94339656829834
4,-410,39,10,16,281.7339035719633,281.7087735980749,24.16298896074295
5,-435,60,35,41,388.1757850199938,388.3240939080715,36.32155108451843
6,-422,52,22,26,420.87757712602615,422.25794573128223,30.138544738292694
7,-422,60,22,26,385.61751621961594,386.58160692453384,33.66529333591461
8,-421,55,21,31,404.07329192757607,404.21011085808277,30.018675923347473
9,-409,34,9,15,197.20311319828033,197.30817000567913,18.02839744091034
10,-416,49,16,19,365.48479118943214,365.61428348720074,25.16268953680992
11,-418,44,18,27,305.450053229928,305.4350305646658,21.794436037540436
12,-412,37,12,16,297.870822891593,297.5162520855665,18.298740029335022
13,-423,51,23,35,409.5279753059149,409.39231595396996,24.980089843273163
14,-420,54,20,28,425.64174231886864,425.9263383448124,25.88998657464981
15,-407,36,7,11,277.9982891380787,278.3634175211191,17.002556771039963
16,-413,42,13,18,350.99371223151684,351.06487733125687,19.497903734445572
17,-417,46,17,22,383.01954409480095,383.1969807744026,21.279033690690994
18,-404,29,4,7,205.13437543809414,204.91620129346848,13.2933828830719
19,-412,50,12,17,390.0544219315052,389.8240669518709,22.652269691228867
20,-412,37,12,14,319.0105829536915,318.67959789931774,16.392202615737915
21,-405,31,5,10,249.10314731299877,248.86979447305202,13.934053599834442
22,-406,31,6,8,270.9978938251734,270.8645135909319,13.70887079834938
23,-408,34,8,11,286.9414095878601,286.670234054327,14.628054738044739
24,-407,38,7,10,321.75816084444523,321.40665179491043,16.258132338523865
25,-405,30,5,11,301.78750082850456,301.40193812549114,12.52254831790924
26,-404,30,4,7,301.80716347694397,301.4277355670929,12.560244351625443
27,-406,31,6,10,245.59229922294617,245.25592038035393,13.076986461877823
28,-407,36,7,9,324.4063418507576,324.04872828722,14.838170260190964
29,-403,33,3,7,299.03985753655434,298.697734773159,13.632545560598373
30,-408,33,8,8,289.53582084178925,289.0793196260929,13.548640072345734
31,-408,33,8,10,289.619033575058,289.28589367866516,13.494684249162674
32,-406,31,6,8,295.2948837727308,294.9797864854336,12.26039233803749
33,-410,40,10,12,384.16495954990387,383.83433316648006,16.1177758872509
34,-406,31,6,7,254.7260436862707,254.32286563515663,12.048933207988739
35,-408,34,8,11,333.2090809494257,332.8058835864067,13.682125955820084
36,-404,33,4,5,357.9666819572449,357.55194449424744,13.011159539222717
37,-403,29,3,6,254.2670738697052,253.91426280140877,11.208772122859955
38,-408,37,8,9,380.2480795830488,379.8601752668619,13.533789545297623
39,-408,42,8,9,368.5391550064087,368.12113220989704,15.953815966844559
40,-402,27,2,5,200.77918434143066,200.58092065155506,10.00592291355133
41,-405,34,5,7,367.12759804725647,366.8737862110138,12.044890284538269
42,-401,26,1,1,290.9333128929138,290.7682411670685,9.334687501192093
43,-406,31,6,9,332.27072525024414,332.0214853286743,11.109519600868225
44,-407,32,7,9,348.11703419685364,347.84413504600525,11.900510340929031
45,-403,28,3,4,259.9667157381773,259.80672293901443,9.508416920900345
46,-403,28,3,3,297.0907554626465,296.9702286720276,9.145497530698776
47,-405,34,5,7,348.1915096640587,348.0148650109768,12.02010828256607
48,-406,37,6,8,451.396484375,451.21911519765854,12.975232034921646
49,-405,30,5,6,347.3870840072632,347.2146430015564,10.331843495368958
50,-401,26,1,1,262.66928577423096,262.6040868759155,9.057524353265762
51,-407,32,7,8,316.4706406593323,316.4154971539974,10.802776545286179
52,-403,32,3,6,378.94612216949463,378.8522005081177,10.886413842439651
53,-401,31,1,4,366.1957850456238,366.14561438560486,10.514625638723373
54,-403,29,3,4,343.9815993309021,344.0036373138428,9.764437839388847
55,-403,28,3,3,347.03983211517334,346.91567873954773,9.224713742733002
56,-404,34,4,6,369.7276816666126,369.635904930532,11.46421617269516
57,-404,29,4,4,287.79337882995605,287.7996142730117,9.278228655457497
58,-402,27,2,3,272.00823879241943,271.9190950393677,8.972808241844177
59,-400,25,0,0,268.36051535606384,268.39717242121696,7.475550040602684
60,-403,29,3,4,271.9853172302246,272.0198229327798,9.235211163759232
61,-403,28,3,3,271.9379119873047,271.8478283882141,8.853734567761421
62,-400,25,0,1,271.5900402069092,271.51292349398136,8.138179928064346
63,-401,26,1,1,327.7938394546509,327.7914934158325,8.00462394952774
64,-401,26,1,1,255.91036415100098,255.94870400428772,8.018144324421883
65,-403,28,3,3,368.641562461853,368.69165682792664,8.970044672489166
66,-401,26,1,1,287.1759786605835,287.13905572891235,7.9223044365644455
67,-405,30,5,5,350.0549712777138,350.0112667530775,9.222708448767662
68,-400,25,0,1,352.43001556396484,352.4636564254761,7.425372466444969
69,-400,25,0,1,289.88678646087646,289.95139050483704,7.261315867304802
70,-401,26,1,3,333.83991146087646,333.82047510147095,7.653123766183853
71,-402,31,2,2,300.2033066749573,300.17620731145144,9.166898936033249
72,-402,31,2,2,300.1640840768814,300.13587245345116,8.889530718326569
73,-402,31,2,2,312.5039327144623,312.4396058097482,8.733381435275078
74,-400,25,0,0,314.9613823890686,314.91296648979187,7.033217638731003
75,-400,25,0,0,333.66430139541626,333.6394024118781,7.251784771680832
76,-403,28,3,3,330.8008141517639,330.76625752449036,7.740397050976753
77,-400,29,0,0,377.58996200561523,377.6975107192993,7.664324730634689
78,-401,30,1,1,318.4299535751343,318.4991421699524,8.03880375623703
79,-402,27,2,2,271.04707169532776,271.12617445737123,7.29715259373188
80,-401,30,1,1,374.4493546485901,374.48198160529137,8.293245807290077
81,-400,25,0,1,292.94931268692017,292.945107460022,6.325530454516411
82,-400,29,0,0,340.0626211166382,340.1070990562439,7.972886219620705
83,-403,28,3,3,327.50781440734863,327.5236496925354,7.088887348771095
84,-401,26,1,1,243.07813549041748,243.165012255311,6.807391375303268
85,-401,26,1,1,311.5977214127779,311.6571234241128,7.062649443745613
86,-401,26,1,2,289.8398609161377,289.8340620100498,6.6055009216070175
87,-400,25,0,0,274.070428609848,274.0702292919159,6.223939418792725
88,-402,27,2,2,280.54314041137695,280.48267889022827,6.637423425912857
89,-402,27,2,2,293.1134452819824,293.1394422054291,7.081443756818771
90,-402,31,2,3,393.1914644241333,393.3245216012001,7.5240345150232315
91,-401,26,1,1,339.52360105514526,339.5856223106384,6.366415306925774
92,-400,25,0,0,326.9805111885071,327.04154539108276,5.632456541061401
93,-400,29,0,1,355.5273742675781,355.5632915645838,7.281988799571991
94,-401,26,1,1,320.78907203674316,320.85470596700907,6.2204775512218475
95,-402,31,2,2,396.23831272125244,396.18962447345257,7.568760618567467
96,-400,26,0,1,311.4297525882721,311.4554886817932,6.145762898027897
97,-401,26,1,1,336.4258115515113,336.42499370127916,6.153915770351887
98,-400,25,0,0,308.26172134280205,308.2894317731261,5.763843283057213
99,-401,26,1,1,339.5703594908118,339.6144285723567,6.422660872340202
