position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,269,288,131,185,31.944331005215645,19.944410383701324,108.99319231510162
1,285,270,115,168,331.8250524699688,308.0320157185197,162.03746330738068
2,271,271,129,165,378.33617417514324,349.4524811953306,150.65778121352196
3,333,204,67,99,318.14118179678917,291.5698132812977,99.7317821085453
4,334,229,66,114,365.78909277915955,340.2219648063183,109.3274367749691
5,321,241,79,140,410.34024262428284,388.1071220487356,124.70017468929291
6,326,223,74,105,373.80859375,357.36644767969847,121.62638768553734
7,333,210,67,98,383.31640625,372.0629059150815,110.8678967654705
8,318,221,82,106,419.046875,413.2774380147457,111.52131617069244
9,335,209,65,94,419.45703125,416.5111306607723,100.80299797654152
10,328,212,72,87,404.69140625,401.97833324968815,96.88203248381615
11,351,191,49,81,406.42578125,404.4866846203804,83.238979190588
12,322,219,78,102,416.859375,414.9971816390753,91.06025248765945
13,341,214,59,96,371.734375,370.1122509688139,84.97232660651207
14,353,186,47,67,351.48828125,350.2068942785263,69.5105684697628
15,355,189,45,70,438.20703125,436.693721011281,66.63268855214119
16,336,200,64,81,365.28515625,363.55892170220613,65.02210626006126
17,338,199,62,72,368.1638594120741,366.4190368130803,62.05244328081608
18,361,191,39,72,425.83203125,423.5701920464635,55.534672960639
19,355,190,45,70,384.48046875,382.32308834046125,51.51897421479225
20,367,173,33,54,368.23046875,366.50317134708166,45.22788843512535
21,363,176,37,50,334.27734375,332.5371450930834,43.85047347843647
22,365,174,35,46,380.26171875,378.6784281358123,41.715795055031776
23,359,183,41,62,353.29296875,351.3971209451556,41.57511679828167
24,359,183,41,56,346.91015625,344.9328878223896,40.173688888549805
25,360,181,40,60,339.72265625,337.79466630518436,39.52833320200443
26,372,168,28,42,337.3671875,335.478782504797,35.500615015625954
27,372,167,28,43,365.10546875,363.30387867987156,34.175024166703224
28,370,169,30,48,321.4921875,319.7118765115738,34.694435849785805
29,374,166,26,37,326.9296875,325.02188170701265,32.67141015827656
30,370,168,30,38,330.4296875,328.2139171436429,31.811111457645893
31,378,165,22,40,379.3671875,377.06282805651426,31.793370813131332
32,384,157,16,30,278.1640625,276.2680137902498,29.269610092043877
33,375,167,25,42,344.68359375,342.55183532834053,31.14446146041155
34,380,162,20,40,340.375,nan,30.50191666185856
35,362,174,38,42,348.5859375,nan,34.13324275612831
36,376,160,24,32,321.484375,nan,28.727413192391396
37,376,160,24,28,346.01171875,nan,27.44626222550869
38,386,159,14,31,332.94140625,nan,26.061715342104435
39,374,165,26,36,352.29296875,nan,27.05783485621214
40,384,159,16,27,288.55859375,nan,25.647812582552433
41,377,159,23,31,323.43359375,nan,25.85078462958336
42,376,162,24,35,332.58984375,nan,25.534868352115154
43,385,152,15,24,381.37890625,nan,23.50865874439478
44,372,164,28,30,348.2265625,nan,24.00145161151886
45,387,150,13,21,324.40234375,nan,22.39764630794525
