position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-481,242,81,142,21.18787942826748,17.399770818650723,73.19857317209244
1,-481,246,81,139,346.967496573925,348.4429068416357,144.7292224764824
2,-482,243,82,135,414.9630255177617,411.6503818631172,137.28725531697273
3,-464,216,64,113,335.17810713499784,323.14285641908646,118.06162676215172
4,-480,234,80,125,382.00834761559963,366.37025359272957,126.29332980513573
5,-507,253,107,144,404.42578125,391.65450917184353,134.87614130973816
6,-459,195,59,75,308.1015625,300.9205592125654,103.77820324897766
7,-504,238,104,128,427.78125,419.98108445107937,124.46121382713318
8,-488,237,88,124,409.984375,402.5143520459533,122.1919547021389
9,-470,204,70,92,385.8125,379.5830058157444,104.70724183320999
10,-468,202,68,86,400.7149274498224,394.5951399952173,100.39664840698242
11,-469,219,69,104,425.5976646244526,418.91333293169737,106.74502515792847
12,-450,187,50,64,366.3984375,360.8440056219697,88.55136007070541
13,-453,187,53,70,394.3828125,388.87884048372507,86.62100446224213
14,-466,204,66,102,356.10546875,350.3861554339528,93.86731040477753
15,-450,186,50,63,368.26953125,363.2071615830064,82.20956254005432
16,-434,183,34,66,367.203125,362.50369756668806,75.77483233809471
17,-450,184,50,63,373.2672644853592,368.866110637784,72.03752920031548
18,-443,193,43,72,402.66015964746475,398.0720239132643,70.8982705771923
19,-446,183,46,64,350.7578433305025,346.2509426549077,63.93019261956215
20,-449,187,49,67,404.1372794061899,399.2781468629837,60.65727086365223
21,-448,189,48,72,422.9518215507269,417.96505656838417,58.7648570984602
22,-430,171,30,57,357.42578125,353.00654385983944,49.14416943490505
23,-436,170,36,48,344.19921875,340.0622619241476,46.07906609773636
24,-435,172,35,58,375.69921875,371.4647186025977,44.762212485075
25,-423,159,23,33,317.74609375,313.88472674787045,39.0264660269022
26,-438,176,38,49,344.4609375,340.2702407389879,40.486695885658264
27,-432,170,32,51,352.68359375,348.6096809953451,38.458778128027916
28,-422,156,22,34,399.91796875,396.34381406754255,33.55885423719883
29,-429,168,29,42,373.17578125,369.5006875023246,34.652585461735725
30,-430,165,30,37,328.80078125,325.339487567544,32.50017635524273
31,-430,171,30,45,454.4453125,450.90365099161863,33.179172836244106
32,-425,162,25,34,328.12109375,324.81628228724,30.82961131632328
33,-432,167,32,43,312.77734375,309.4147863686085,30.15403961390257
34,-431,167,31,46,322.40625,319.07904073596,30.49900758266449
35,-421,157,21,30,342.5390625,339.58469232171774,28.18005993962288
36,-426,160,26,40,374.3828125,371.16210908442736,27.87031202763319
37,-418,154,18,24,326.12109375,322.78526252508163,26.8595232963562
38,-421,159,21,31,332.44921875,329.0954000875354,27.019004613161087
39,-415,149,15,20,386.93359375,383.79984094947577,24.506736546754837
40,-426,162,26,34,438.9609375,435.1266234591603,26.97123407572508
41,-416,151,16,25,362.60546875,359.089978300035,24.026701986789703
42,-412,146,12,17,339.58984375,336.2833451926708,23.20975474268198
43,-423,159,23,32,372.34765625,368.9131606295705,24.92949865758419
44,-422,156,22,24,328.62890625,325.2405711784959,23.753201812505722
45,-414,150,14,22,374.171875,371.304650709033,22.244714096188545
46,-415,150,15,23,314.7109375,311.9494937956333,22.726751513779163
47,-427,161,27,31,325.2109375,322.52885938435793,23.415347158908844
48,-418,153,18,25,333.43359375,331.03611413389444,22.66151449084282
49,-414,148,14,17,373.2109375,370.8798332288861,20.81289640069008
50,-411,147,11,17,373.203125,370.8055878803134,21.22650768607855
51,-417,151,17,21,347.80078125,345.64730709791183,20.21056580543518
52,-409,146,9,21,368.92578125,366.90723437070847,19.48701685667038
53,-419,155,19,23,370.1015625,367.7540128417313,21.189993143081665
54,-409,146,9,15,381.30078125,379.1349871382117,19.58450173586607
55,-408,143,8,11,356.12109375,354.0702304393053,18.813851855695248
56,-412,146,12,17,362.56640625,360.44794081524014,19.443151861429214
57,-414,149,14,19,381.1953125,379.1949785351753,19.33289212733507
58,-411,145,11,14,327.5,325.5540641359985,18.396134324371815
59,-406,142,6,13,308.0078125,306.143734741956,16.902706637978554
60,-415,149,15,19,414.71875,412.8270657658577,17.43972097337246
61,-406,141,6,9,341.90234375,340.14167595654726,15.761120647192001
62,-406,143,6,11,313.6953125,311.8969054557383,15.570666689425707
63,-406,140,6,11,381.5078125,379.89004707708955,14.850696619600058
64,-406,140,6,12,300.140625,298.6822766587138,14.388165421783924
65,-405,139,5,6,364.78515625,363.48432495445013,13.393307641148567
