position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-531,285,131,197,21.174129627645016,20.696118585765362,108.82587558031082
1,-555,310,155,210,315.95722702890635,325.16760616004467,194.61076146364212
2,-578,319,178,211,422.46597078442574,432.3110211491585,188.33048540353775
3,-495,253,95,149,352.8235594034195,350.9462209790945,145.04172253608704
4,-486,240,86,128,317.49941006302834,308.2387734055519,135.40799939632416
5,-467,222,67,113,318.64453125,309.50298646092415,122.74772995710373
6,-488,222,88,115,432.171875,424.23107285797596,121.62134128808975
7,-501,237,101,118,403.53125,398.69628466665745,125.90639477968216
8,-467,202,67,88,342.84765625,338.70306231081486,103.69458308815956
9,-479,213,79,98,360.1836043447256,356.1478655189276,106.84004589915276
10,-472,210,72,98,380.3923477232456,376.95291481912136,103.53714764118195
11,-471,222,71,102,425.60411866009235,422.1254401952028,106.15639644861221
12,-473,209,73,95,366.4449951648712,362.79927222430706,98.47471052408218
13,-443,196,43,82,413.16319438815117,409.93137906491756,89.88254338502884
14,-433,177,33,58,287.23046880960464,284.1270505338907,78.28554320335388
15,-467,201,67,83,397.0742564201355,393.8948041945696,86.73122438788414
16,-437,183,37,69,308.55859375,305.79385923594236,77.3146140575409
17,-477,214,77,97,414.329471886158,411.0932524949312,87.94843745231628
18,-424,176,24,59,290.8280199468136,288.26439087837934,70.52574014663696
19,-442,184,42,65,406.9885171800852,404.2513397112489,70.75262534618378
20,-435,179,35,70,355.9414083957672,353.2807059958577,67.09193006157875
21,-430,174,30,56,348.55859375,346.0775769278407,61.71049615740776
22,-446,180,46,62,336.33984375,333.8970251381397,63.36662009358406
23,-445,180,45,59,348.875,346.57565715909004,61.52356016635895
24,-439,182,39,57,314.3671875,312.0014672204852,59.61074563860893
25,-421,159,21,40,382.0001084804535,379.9886670336127,49.117250978946686
26,-429,170,29,48,373.73046875,371.6734250187874,51.407095834612846
27,-435,170,35,48,342.57421875,340.5881474763155,48.15345647931099
28,-421,171,21,48,351.375,349.5411932989955,47.93271516263485
29,-431,168,31,42,350.8125,349.0039036497474,44.781678557395935
30,-429,167,29,42,356.4140625,354.5999671816826,41.714848071336746
31,-434,169,34,43,294.015625,292.36162047833204,41.694840133190155
32,-425,162,25,37,399.1953125,397.4220111221075,37.89825960993767
33,-425,161,25,36,285.77734375,284.12993275374174,36.60100097954273
34,-422,156,22,27,350.7890625,349.1101596057415,34.10467889904976
35,-418,152,18,24,303.04296875,301.5518994554877,32.00534915924072
36,-425,159,25,33,310.1484375,308.6092916354537,31.97794883698225
37,-417,154,17,23,287.37890625,285.8889106437564,29.68288116157055
38,-416,150,16,24,373.98828125,372.5233250334859,28.508024014532566
39,-428,165,28,41,403.69140625,402.1779186949134,31.12120385468006
40,-415,150,15,24,367.19921875,365.8427440524101,26.846776016056538
41,-422,156,22,31,339.7265625,338.35592387616634,27.989790052175522
42,-416,150,16,20,351.34765625,350.127133063972,25.049092173576355
43,-418,152,18,28,341.91796875,340.7144928500056,25.5455666705966
44,-419,155,19,33,339.0390625,337.81887946277857,25.37699942290783
45,-405,147,5,21,318.86328125,317.7772618532181,23.22064157575369
46,-414,149,14,21,244.15234375,243.02698044478893,23.862173959612846
47,-418,154,18,30,322.08984375,321.0164363011718,23.84867252409458
48,-410,146,10,21,330.1015625,329.15258668363094,22.252540729939938
49,-409,144,9,15,339.35546875,338.3302473798394,22.019035413861275
50,-420,154,20,21,328.01171875,326.9198646917939,23.24217054247856
51,-421,155,21,26,349.80078125,348.7026456296444,22.594341337680817
