position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,320,238,80,140,21.289409190416336,18.0052707195282,80.26739263534546
1,299,237,101,126,344.3982125148177,339.14737317711115,143.0690906047821
2,306,260,94,156,394.0187284052372,386.370949909091,144.9673438668251
3,300,239,100,131,369.82150231301785,364.75918993353844,126.99667724967003
4,326,221,74,113,357.1250960081816,354.82715310156345,114.11223629117012
5,316,232,84,122,449.8242242783308,447.9788417071104,120.84839200973511
6,309,228,91,109,430.40234375,429.28062768280506,117.89736023545265
7,338,213,62,104,405.47265625,404.1143887117505,107.80729353427887
8,330,206,70,97,364.74609375,363.19175335764885,101.31003081798553
9,346,203,54,86,417.26953125,414.0396813303232,98.3049056828022
10,342,209,58,94,380.50668470561504,375.4284060895443,98.8503754734993
11,331,208,69,94,376.51171875,373.1700806841254,96.66049185395241
12,350,198,50,77,458.6484375,456.33412239700556,88.50863128900528
13,356,188,44,69,330.75390625,328.7575493976474,79.79343146085739
14,360,188,40,71,296.36328125,294.39535854011774,78.28845858573914
15,351,196,49,75,378.23046875,376.2974159345031,78.45660093426704
16,359,193,41,67,395.484375,393.6248788833618,73.36617118120193
17,361,181,39,60,321.45703125,320.05710738897324,65.25913928449154
18,336,201,64,81,418.3671875,417.0037632510066,67.39797960221767
19,366,171,34,48,397.57421875,396.7681607529521,55.34712436795235
20,360,182,40,67,343.21484375,342.646817214787,56.661284893751144
21,371,169,29,45,293.94140625,293.5106433928013,49.95659925043583
22,363,179,37,54,364.3125,363.82217556238174,50.196411207318306
23,356,180,44,54,348.30078125,347.7899586483836,48.64010292291641
24,357,179,43,60,328.65625,328.2112236917019,45.337415024638176
25,364,181,36,52,397.97265625,397.5650089532137,43.83081313967705
26,370,173,30,49,336.984375,336.65707978606224,40.800331592559814
27,365,177,35,47,390.48828125,390.2036639004946,39.90272304415703
28,372,169,28,44,401.5234375,401.3588817194104,36.726069539785385
29,381,158,19,32,421.59375,421.4542867988348,32.96310928463936
30,367,172,33,42,401.21875,401.1166719272733,35.492974013090134
31,369,172,31,45,388.265625,388.1960440278053,34.52143411338329
32,366,173,34,47,382.21875,382.1641653329134,33.134155973792076
33,376,163,24,35,358.734375,358.6811447441578,29.702516973018646
34,378,159,22,31,336.2265625,336.18870268017054,28.896863006055355
35,375,164,25,36,348.82421875,348.78628093749285,29.448564924299717
36,375,161,25,39,339.21875,339.1898971796036,27.422223776578903
37,382,159,18,30,329.40234375,329.3749808371067,27.896394342184067
38,379,161,21,32,416.3046875,416.265340462327,26.604771733283997
39,377,168,23,42,386.21875,386.19072533398867,27.717834562063217
40,381,158,19,32,322.4296875,322.4069860354066,26.28903789818287
41,379,157,21,28,397.03125,397.0042882412672,25.071420900523663
42,379,159,21,25,331.24609375,331.21901981532574,24.651381127536297
43,385,153,15,25,320.7734375,320.750540189445,23.565549299120903
44,381,155,19,24,377.66015625,377.63930416852236,23.823073096573353
45,377,159,23,26,296.71875,296.6976442337036,24.202187791466713
46,383,153,17,21,320.83984375,320.8136891871691,22.265159860253334
47,387,151,13,20,332.5546875,332.53290586173534,22.115121118724346
48,389,150,11,17,326.23828125,326.2192588970065,20.837735772132874
49,386,153,14,19,373.1484375,373.13060926645994,20.937838912010193
50,378,158,22,25,339.0,338.9853114411235,22.216014824807644
51,381,156,19,27,370.12890625,370.11012111604214,21.305578634142876
52,387,152,13,20,360.265625,360.2469805255532,21.067358799278736
53,389,149,11,18,325.44140625,325.42193899303675,19.85487450659275
54,383,153,17,22,294.98828125,294.9746452346444,20.023263573646545
55,390,148,10,16,300.03515625,300.01822908222675,19.426118306815624
56,385,154,15,20,309.75390625,309.7368380315602,19.7766732275486
57,392,146,8,16,295.87109375,295.85658553242683,17.957429341971874
58,389,147,11,12,355.33203125,355.31484661996365,18.584104537963867
59,387,150,13,19,370.7734375,370.7594309002161,18.23634210973978
60,389,149,11,16,336.2265625,336.2143656387925,17.47436385601759
61,390,146,10,11,369.4375,369.4194495305419,16.27236945554614
62,388,150,12,19,351.03125,351.01674599945545,16.55901476740837
63,384,153,16,20,391.37890625,391.3612022995949,15.871095675975084
64,392,145,8,14,346.73828125,346.7252188064158,15.141339004039764
65,391,147,9,13,415.19921875,415.1851832084358,14.842068888247013
66,394,142,6,10,348.74609375,348.7285226806998,13.991106301546097
67,393,143,7,10,367.6875,367.67345279455185,14.224771931767464
68,396,141,4,9,354.53515625,354.52102288231254,12.906974613666534
69,396,141,4,9,388.59375,388.57819978892803,12.727361992001534
70,391,145,9,12,382.4140625,382.3968916013837,12.825398206710815
71,393,144,7,10,372.94921875,372.93298415467143,11.956575330346823
72,392,146,8,13,388.15625,388.1406160965562,11.715529214590788
73,389,148,11,13,344.6171875,344.59837183728814,11.638525754213333
74,399,137,1,6,337.14453125,337.1257860213518,10.11431809514761
75,396,142,4,9,334.04296875,334.02935260906816,10.345728216692805
76,397,139,3,5,352.43359375,352.4157583490014,10.071767944842577
77,391,145,9,11,368.375,368.3598715364933,10.358311222866178
78,398,138,2,3,414.6953125,414.6816973425448,9.670668449252844
79,396,141,4,7,383.27734375,383.2610439173877,9.265405321493745
80,393,145,7,12,389.3984375,389.38450439833105,9.246911218389869
81,396,142,4,10,432.546875,432.5311383381486,8.879653876647353
82,395,141,5,5,385.73046875,385.71719771437347,7.951339372433722
83,396,142,4,9,363.5625,363.54631376825273,8.294866224750876
84,394,144,6,10,410.29296875,410.27830431982875,7.819425629451871
85,392,146,8,13,348.26953125,348.2588605377823,8.065038990229368
86,394,142,6,8,363.13671875,363.1250162869692,7.266489898785949
87,393,144,7,10,369.03515625,369.02532855048776,7.625979654490948
88,396,141,4,7,406.515625,406.5090095885098,7.369175020605326
89,389,147,11,12,334.671875,334.6650112885982,7.29900211468339
90,393,143,7,7,387.47265625,387.46516881510615,7.243628928437829
91,396,140,4,6,352.83984375,352.8304049205035,6.534133315086365
92,394,143,6,8,371.44140625,371.4370924681425,6.549216574057937
93,392,145,8,9,399.46875,399.46884931623936,6.741496556438506
94,397,139,3,5,383.5703125,383.5698829740286,5.858160396106541
95,396,140,4,4,402.4765625,402.4766157269478,6.174926484003663
96,396,140,4,6,402.203125,402.2032049242407,5.734728068113327
97,399,137,1,2,405.13671875,405.136824792251,5.918470431119204
98,396,141,4,7,367.6484375,367.6480586808175,5.420869359746575
99,398,138,2,4,407.96875,407.9688248950988,5.4301523910835385
