position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-461,90,61,67,,0,0
1,-428,54,28,35,59.250256299972534,63.06549310684204,14.585799813270569
2,-413,38,13,17,177.64506673067808,178.94984644651413,24.01451301574707
3,-436,65,36,44,356.41173873096704,355.5065325498581,39.885147392749786
4,-441,68,41,48,431.3999855145812,429.1848473325372,39.95058888196945
5,-422,48,22,32,296.92397678643465,295.57422229647636,27.6099254488945
6,-452,82,52,59,482.08152178674936,480.17661418020725,45.32246848940849
7,-418,48,18,29,330.9362969994545,329.7134855464101,25.866353541612625
8,-458,92,58,68,573.7697518765926,571.6234582513571,48.19979092478752
9,-452,84,52,63,509.8347847536206,508.3414453044534,42.78278136253357
10,-450,77,50,58,393.43647046387196,392.13232634961605,39.07778176665306
11,-446,79,46,54,471.2043483108282,469.73107762634754,37.64124125242233
12,-433,58,33,36,275.5344346985221,274.2786120995879,28.058695137500763
13,-416,42,16,20,283.57927184551954,282.12236388772726,19.612800300121307
14,-453,86,53,61,581.1635978221893,577.5556883439422,40.22300237417221
15,-412,42,12,21,235.0151105672121,233.1535967811942,19.460468113422394
16,-428,59,28,35,329.01603269577026,326.42228887975216,28.672442764043808
17,-412,38,12,18,185.27259746193886,183.3327865153551,17.946641623973846
18,-440,65,40,42,374.8204657584429,371.4471410885453,30.709992557764053
19,-437,62,37,42,377.93465496599674,374.30528297275305,28.878214478492737
20,-405,30,5,7,206.1781529188156,204.31403604894876,13.457990407943726
21,-404,29,4,6,162.5526089221239,160.26650971919298,13.381250351667404
22,-405,30,5,6,203.36763934791088,201.24710262566805,13.49463501572609
23,-404,30,4,7,194.1586655676365,192.05531568825245,13.260785102844238
24,-403,28,3,4,212.5232740789652,210.86569817364216,12.374872207641602
25,-414,39,14,15,265.1659169048071,263.43497683107853,17.037725806236267
26,-408,37,8,10,233.43768617510796,232.17181885242462,16.16205558180809
27,-403,28,3,7,172.0191975980997,171.22095847129822,12.226666927337646
28,-407,32,7,7,222.87386007606983,222.15743052959442,14.039839953184128
29,-414,59,14,15,460.1243827342987,460.5223524570465,25.17784869670868
30,-409,38,9,11,286.68193562328815,287.13890455663204,15.495021253824234
31,-402,27,2,3,156.15863057971,156.21240915358067,11.049504727125168
32,-404,29,4,8,194.13663424551487,193.79359851777554,12.063641458749771
33,-403,30,3,6,272.1485503911972,272.07223086059093,11.642812997102737
34,-402,27,2,4,212.1637218594551,211.8808335363865,10.755500495433807
35,-407,36,7,8,307.6383932232857,307.35479159653187,14.106169193983078
36,-406,36,6,11,363.6258533000946,363.66773867607117,13.48525094985962
37,-407,32,7,9,197.37751434743404,196.37099661678076,12.622521787881851
38,-401,27,1,3,190.10156179964542,189.26499497890472,10.130694031715393
39,-403,28,3,3,212.1711731851101,211.51288749277592,11.152793377637863
40,-404,29,4,5,265.3831150084734,265.1758272796869,10.814252316951752
41,-402,31,2,2,284.2819843143225,284.42000253498554,11.689660370349884
42,-400,25,0,1,214.55529117584229,214.4250052422285,9.2298344373703
43,-404,33,4,5,300.0466060638428,300.7678282260895,12.115969121456146
44,-406,39,6,8,292.2511848807335,292.253086745739,14.03187021613121
45,-403,28,3,5,192.9621214568615,193.06117464601994,10.008801847696304
46,-406,35,6,9,256.88529109954834,257.2585480213165,12.278445184230804
47,-405,31,5,7,284.0615456402302,285.32351346313953,11.353016763925552
48,-407,36,7,7,319.2400992810726,320.847673073411,12.901732742786407
49,-402,28,2,3,267.53608526289463,269.3310042321682,9.862237572669983
50,-405,30,5,7,246.20951265096664,247.84802141785622,10.531375527381897
51,-401,30,1,4,258.84225292503834,261.1549974679947,10.845464274287224
52,-401,26,1,2,229.65799674391747,231.84417188167572,8.66320851445198
53,-400,26,0,2,226.28756028413773,228.57136057317257,8.582529991865158
54,-404,29,4,4,314.30018313229084,317.3007398843765,9.836167514324188
55,-402,31,2,2,293.00709787011147,295.2384042739868,10.730069011449814
56,-402,27,2,3,254.57590971887112,255.92757432162762,8.835103005170822
57,-400,25,0,0,195.0235206335783,196.01242698729038,8.442627429962158
58,-403,29,3,4,248.57388255000114,250.2965114414692,9.552714109420776
59,-401,26,1,2,247.9729886353016,249.644166380167,8.71961709856987
60,-402,27,2,2,279.3660336434841,281.5873606801033,8.652742847800255
61,-401,30,1,4,279.93384858965874,282.320702701807,9.754112303256989
62,-400,25,0,0,229.00649762153625,231.07623839378357,8.277333185076714
63,-402,31,2,4,308.1641683578491,310.6750032901764,9.896477952599525
64,-406,32,6,8,326.8859748542309,330.3846140652895,10.42457701265812
65,-402,27,2,2,269.80204224586487,272.9085190296173,8.654524147510529
66,-403,28,3,4,335.5289161205292,339.3735797405243,9.326296240091324
67,-402,31,2,3,335.87615944445133,339.91926650702953,9.92375698685646
68,-401,26,1,1,260.0364373922348,264.5874143540859,8.55421932041645
69,-400,25,0,1,216.21442607045174,219.61049862205982,7.646642506122589
70,-402,28,2,3,300.8697860687971,304.9128231704235,8.301869079470634
71,-403,32,3,4,326.53308318555355,331.2951821833849,9.892972126603127
72,-400,25,0,2,228.64388799667358,232.06453824043274,7.500738307833672
73,-400,29,0,0,269.78305530548096,273.9428553581238,8.745437011122704
74,-400,25,0,1,278.47813729941845,282.3521465808153,7.430551305413246
75,-401,26,1,1,278.5382533967495,281.30191347002983,7.463639557361603
76,-402,27,2,3,288.0354895591736,290.6377396583557,7.672214224934578
77,-400,29,0,1,310.3035235404968,313.0952672958374,8.653759196400642
78,-401,34,1,1,357.98851132392883,361.3383935391903,10.141142174601555
79,-400,25,0,0,241.01504585146904,243.54752871394157,7.222528234124184
80,-400,29,0,0,334.9614816606045,338.5407218039036,8.099928125739098
81,-402,27,2,3,284.8050858974457,287.88201546669006,7.473176687955856
82,-401,26,1,2,294.0354788303375,297.4248378276825,7.00473453104496
83,-401,26,1,1,328.3122107684612,331.5424332767725,7.121947780251503
84,-402,27,2,3,300.24505162239075,303.6287488937378,7.438381344079971
85,-400,29,0,1,310.1156587600708,313.2995970249176,8.336384773254395
86,-401,30,1,2,344.459887906909,347.7629515826702,8.844924747943878
87,-401,26,1,2,300.1197971701622,302.9059263765812,7.374030292034149
88,-403,32,3,3,400.753600358963,404.3855502605438,8.791389390826225
89,-401,30,1,2,316.13974096626043,318.79004799574614,8.365553081035614
90,-402,31,2,2,359.77964393794537,363.7442790567875,8.211792647838593
91,-402,27,2,2,297.0995352268219,299.8609290122986,7.274572104215622
92,-400,29,0,0,306.81600807607174,309.37784510850906,7.476621836423874
93,-401,26,1,1,331.0686409473419,334.28249502182007,6.71640507876873
94,-401,26,1,1,278.10126543045044,280.97312664985657,6.4972303211688995
95,-401,26,1,1,340.37550830841064,344.6603538990021,6.6596804559230804
96,-400,29,0,0,353.5186975002289,357.638210773468,6.855700194835663
97,-400,25,0,0,240.4537137299776,244.05082996189594,6.584344044327736
98,-400,29,0,2,322.16354846954346,325.9605360031128,7.0786526799201965
99,-400,25,0,0,305.9497871398926,309.355708360672,6.38999505341053
