position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-416,42,16,23,,0,0
1,-428,53,28,33,,0,0
2,-426,52,26,30,122.72292947769165,121.3588490486145,14.39507657289505
3,-416,42,16,23,304.8347373008728,301.9492952823639,27.155943393707275
4,-423,54,23,29,396.34441217780113,390.8892776221037,33.79113703966141
5,-413,43,13,19,321.3828125,317.15985395014286,25.593225717544556
6,-419,48,19,25,381.48046875,377.0546549707651,28.025263845920563
7,-420,50,20,27,419.38671875,415.52299094200134,28.16622084379196
8,-409,35,9,15,335.07421875,332.33579936623573,19.359601140022278
9,-410,36,10,14,291.2578125,288.4131860733032,19.125834435224533
10,-412,38,12,18,335.23046875,331.925612449646,19.693488210439682
11,-410,39,10,15,356.9921875,353.7842924594879,19.169389486312866
12,-409,34,9,13,278.05859375,274.80276975780725,16.242514073848724
13,-407,32,7,9,299.3203125,296.7274705693126,15.24919268488884
14,-406,32,6,9,268.23828125,265.38406255096197,14.692098826169968
15,-413,43,13,17,413.33984375,410.3176728114486,19.394610285758972
16,-406,31,6,11,292.5390625,290.6174860224128,13.306558519601822
17,-410,36,10,12,308.87109375,306.6308135986328,15.47364616394043
18,-414,43,14,18,378.69140625,376.3723692074418,17.962854951620102
19,-405,34,5,11,314.5390625,312.73432286828756,14.210658848285675
20,-408,33,8,11,336.3203125,334.26871514320374,13.371556639671326
21,-407,32,7,8,314.01171875,312.141419865191,12.664659082889557
22,-406,31,6,7,295.18359375,293.6252507045865,12.365496069192886
23,-412,41,12,13,399.93359375,397.73057340830564,16.041547805070877
24,-410,35,10,14,320.96484375,319.26327988505363,13.57344377040863
25,-410,35,10,14,358.09375,356.62542748451233,13.380737602710724
26,-404,29,4,8,322.703125,322.10029220581055,11.11221119761467
27,-402,31,2,4,332.32421875,331.69968819618225,11.680612474679947
28,-405,32,5,9,332.38671875,331.92861246317625,11.97247925400734
29,-406,31,6,6,332.48046875,331.8269352763891,11.555169343948364
30,-406,35,6,7,379.75390625,379.2485283687711,12.848886638879776
31,-401,26,1,2,315.82421875,315.6064005866647,9.364759862422943
32,-401,26,1,2,275.1875,274.84814858436584,9.199852764606476
33,-405,34,5,7,360.62109375,360.3674612119794,12.05835410952568
34,-401,30,1,2,375.5390625,375.7627844810486,10.493020325899124
35,-401,31,1,9,325.60546875,325.845552444458,10.607366919517517
36,-400,25,0,0,296.703125,297.0236157551408,8.177712887525558
37,-400,25,0,4,262.484375,262.66516757011414,8.417480617761612
38,-402,27,2,2,284.2421875,284.64118242263794,9.087431490421295
39,-401,26,1,3,306.15234375,306.7179861962795,8.630947351455688
40,-406,31,6,9,319.0546875,319.71897603571415,9.926816999912262
41,-403,28,3,3,315.5703125,316.53217935562134,9.04962757229805
42,-406,35,6,8,394.44140625,395.3731978163123,11.539988219738007
43,-401,26,1,1,305.7421875,306.70335129648447,8.48704308271408
44,-404,33,4,6,359.7890625,360.61495128273964,10.06202819943428
45,-403,28,3,4,293.67578125,294.4620039463043,8.590731620788574
