winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.DECKING,65,607.5716018676758,0,0,7,0,0,7
0,DeathDescription.DECKING,65,570.6191062927246,0,0,7,0,0,7
0,DeathDescription.DECKING,65,584.5930576324463,0,0,7,0,0,7
0,DeathDescription.DECKING,65,600.1443862915039,0,0,7,0,0,7
0,DeathDescription.DECKING,65,596.0426330566406,0,0,7,0,0,7
0,DeathDescription.DECKING,65,646.0614204406738,0,0,7,0,0,7
0,DeathDescription.DECKING,65,608.0963611602783,0,0,7,0,0,7
0,DeathDescription.DECKING,65,612.0767593383789,0,0,7,0,0,7
0,DeathDescription.DECKING,65,617.0847415924072,0,0,7,0,0,7
0,DeathDescription.DECKING,65,612.511396408081,0,0,7,0,0,7
0,DeathDescription.DECKING,65,617.2733306884766,0,0,7,0,0,7
0,DeathDescription.DECKING,65,664.2746925354004,0,0,7,0,0,7
0,DeathDescription.DECKING,65,610.9664440155029,0,0,7,0,0,7
0,DeathDescription.DECKING,65,651.8762111663818,0,0,7,0,0,7
