position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-565,318,165,210,27.93579501658678,37.72290441393852,122.82541567087173
1,-487,229,87,123,283.57483744621277,293.69882959127426,134.14667969942093
2,-492,247,92,140,371.57423135638237,372.9414625912905,134.10646098852158
3,-515,259,115,155,345.6248735040426,340.93175914883614,137.7914115190506
4,-492,236,92,122,372.6393910050392,363.430167093873,124.00359657406807
5,-479,219,79,107,358.70703125,351.29024563729763,114.09836009144783
6,-473,219,73,103,357.83984375,353.94303895533085,113.35274040699005
7,-498,232,98,124,449.10001991689205,446.556631565094,117.66366136074066
8,-478,217,78,106,397.3306761831045,394.0006230324507,110.77334401011467
9,-459,196,59,85,345.31640625,342.2417152374983,98.41728675365448
10,-483,217,83,98,405.046875,401.75273981690407,106.70760744810104
11,-460,202,60,87,423.3515625,419.98504051566124,97.21466332674026
12,-441,188,41,76,316.3359375,313.51996767520905,89.15406933426857
13,-437,188,37,74,324.84765625,322.3775641769171,86.88168439269066
14,-439,186,39,74,324.18359375,321.69019939005375,84.38243681192398
15,-475,210,75,90,434.0234375,431.3898996859789,91.90665426850319
16,-455,189,55,71,340.06640625,337.7370407730341,77.3207700252533
17,-444,185,44,67,335.16015625,332.9620334506035,72.94938987493515
18,-443,182,43,63,358.83203125,356.7731067761779,68.29130840301514
19,-448,186,48,68,416.109375,414.06363758444786,65.59064242243767
20,-441,175,41,55,319.9254570007324,317.92885152995586,58.24442210793495
21,-453,190,53,71,375.02734375,372.85580329596996,60.295641139149666
22,-445,179,45,59,341.30078125,339.2983084246516,53.55207584798336
23,-432,174,32,51,324.87890625,323.01004706323147,48.6954010874033
24,-436,180,36,62,316.28125,314.233367100358,46.237144619226456
25,-432,168,32,48,348.046875,346.40280395001173,40.48486153781414
26,-435,171,35,49,366.88671875,365.06370666623116,39.625176176428795
27,-428,168,28,52,328.94140625,327.1215789169073,36.87595124542713
28,-425,163,25,35,343.76953125,342.06104565411806,34.420188680291176
29,-430,175,30,47,397.63671875,395.8772738724947,35.85153992474079
30,-429,164,29,47,373.6484375,372.1452090591192,31.987919494509697
31,-424,161,24,42,301.375,299.95791009813547,30.621271036565304
32,-423,161,23,35,332.28125,330.7613117620349,30.738771982491016
33,-422,169,22,47,352.3203125,350.83372032642365,30.95947454869747
34,-421,159,21,37,353.171875,351.8560092225671,27.946057356894016
35,-416,150,16,23,323.6796875,322.35973393917084,25.897157326340675
36,-427,168,27,41,276.73046875,275.23714657872915,29.020686872303486
37,-413,148,13,21,357.171875,356.168491974473,24.68927962332964
38,-420,155,20,32,335.984375,334.9164417684078,25.315113857388496
39,-418,154,18,34,335.5234375,334.5029247328639,24.648842342197895
40,-418,154,18,29,316.9453125,315.93890948593616,24.694250911474228
41,-420,155,20,29,379.16015625,378.23599726706743,24.386456340551376
42,-420,154,20,26,366.6015625,365.6060070618987,23.936968982219696
43,-420,154,20,26,350.78515625,349.8154565989971,22.839745700359344
44,-412,147,12,18,287.38671875,289.3057824075222,22.109811693429947
45,-418,152,18,24,340.3359375,345.6734416335821,22.25229688733816
46,-415,150,15,23,358.78515625,361.0577617138624,21.45532365143299
47,-419,154,19,24,334.31640625,334.26739928871393,22.43223612010479
48,-408,142,8,13,326.2109375,325.88212556391954,20.069945268332958
49,-422,156,22,26,359.6015625,359.16173403710127,21.460019938647747
50,-416,152,16,21,348.9140625,348.51906245201826,20.88339053094387
51,-422,157,22,27,340.41796875,340.00590274110436,21.4163726195693
52,-416,156,16,32,370.73046875,370.36218865960836,21.059767849743366
53,-412,147,12,23,363.40234375,363.0772818773985,19.61587207764387
54,-414,149,14,18,310.75,310.36193810403347,19.4429936632514
55,-414,151,14,24,332.2734375,331.87921679764986,19.392531231045723
56,-415,151,15,21,341.9453125,341.60899406671524,18.800286132842302
57,-410,145,10,14,365.1484375,364.7276731468737,17.68529786169529
58,-404,140,4,8,308.4765625,308.1324904933572,17.522115282714367
59,-405,139,5,5,329.53125,329.20004354789853,16.148524943739176
60,-412,146,12,15,351.72265625,351.37964552640915,16.91708654537797
61,-411,149,11,18,376.5703125,376.3245216719806,16.758439406752586
62,-412,146,12,16,366.4765625,366.3722335845232,16.169201005250216
63,-408,142,8,12,362.84765625,362.7480656504631,14.762423411011696
64,-409,143,9,13,422.30078125,422.1909686513245,15.163916680961847
65,-412,146,12,14,374.8359375,374.7180294804275,14.193212039768696
66,-413,147,13,14,356.0234375,355.89470447041094,14.484178371727467
67,-413,147,13,19,377.7265625,377.6391328908503,13.905832149088383
68,-409,143,9,14,326.890625,326.7892648540437,13.231854934245348
69,-404,138,4,6,338.91796875,338.8187213912606,12.483403032645583
70,-404,138,4,7,325.921875,325.9436657205224,11.78438626602292
71,-410,144,10,11,391.953125,392.0235504284501,12.665665417909622
72,-405,143,5,9,331.87109375,331.9740580432117,11.8700044862926
73,-408,142,8,10,372.2109375,372.34358663856983,11.410544227808714
74,-405,141,5,9,343.92578125,344.02110928297043,11.582074522972107
75,-402,137,2,3,355.77734375,355.96715296059847,10.434525687247515
76,-406,140,6,10,380.69140625,380.8550341706723,10.259319324046373
77,-410,144,10,13,374.890625,375.0833829678595,11.022979032248259
78,-405,139,5,10,374.21875,374.577691629529,9.748590296134353
79,-401,135,1,4,308.08203125,308.4088511131704,9.449078595265746
80,-404,138,4,10,360.9921875,361.3526539802551,8.919103939086199
81,-404,140,4,10,351.4453125,351.86951012536883,9.045732224360108
82,-407,141,7,8,317.23828125,317.58227311074734,9.051109299063683
83,-404,139,4,7,347.9375,348.4630399942398,8.309800084680319
84,-403,137,3,4,407.1953125,407.5352436453104,7.7730849999934435
85,-403,137,3,6,369.14453125,369.56931917741895,8.09832563251257
86,-402,137,2,7,372.2578125,372.8559166453779,8.042314631864429
87,-406,140,6,7,331.63671875,332.0930498037487,7.494211291894317
88,-401,135,1,2,387.4921875,388.15169982239604,7.021298296749592
89,-402,136,2,2,390.421875,391.14407693222165,6.826593993231654
90,-403,137,3,3,371.453125,372.22322584316134,6.931085049174726
91,-406,144,6,14,343.6328125,344.51242572441697,7.1470677703619
92,-409,143,9,11,418.38671875,419.37375066429377,6.598275227472186
93,-401,135,1,3,408.24609375,409.15783679299057,6.148533965460956
94,-402,137,2,4,411.25390625,412.13635051064193,5.857956079766154
95,-406,140,6,9,395.76953125,396.61625951714814,5.9805254731327295
96,-401,135,1,1,417.1328125,417.9801108725369,5.629282190464437
97,-404,138,4,5,314.3359375,315.2028843704611,5.3072324907407165
98,-403,137,3,4,429.8125,430.7844256609678,5.428474537096918
99,-406,140,6,8,348.3671875,349.37201453000307,4.739550745114684
