position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-501,250,101,145,16.828081145882607,16.394675128161907,79.89497512578964
1,-542,276,142,169,354.4296539500356,362.2374362796545,163.60477274656296
2,-492,237,92,133,338.7518451139331,353.75652489066124,129.8216696381569
3,-499,247,99,136,356.4683865234256,370.0416337251663,132.2123991549015
4,-498,240,98,130,390.17112801223993,396.5806529670954,128.65982538461685
5,-467,204,67,101,323.67130544781685,327.63450844585896,106.72618728876114
6,-478,227,78,116,378.4819934666157,383.22656574845314,119.2499415576458
7,-461,205,61,92,344.0891540646553,346.53507305681705,105.68281915783882
8,-467,216,67,104,384.0249275267124,385.3194107711315,109.74141356348991
9,-464,200,64,79,344.0911087244749,344.3320279568434,100.53264731168747
10,-472,219,72,101,446.4281849116087,446.53515625,108.43055084347725
11,-493,231,93,111,411.86890345811844,411.92578125,112.73747691512108
12,-465,199,65,83,333.63671875,333.63671875,95.44902297854424
13,-464,207,64,87,375.1289550215006,375.12890625,95.68032971024513
14,-440,184,40,67,305.25782212615013,305.2578125,82.41590332984924
15,-444,190,44,72,370.964847356081,370.96484375,82.61807399988174
16,-450,199,50,82,387.226573869586,387.2265926152468,84.03356817364693
17,-450,184,50,66,372.0429734438658,372.04296875,74.1912325322628
18,-451,185,51,59,347.0703126490116,347.0703125,70.68499848246574
19,-445,186,45,66,315.8242188692093,315.82421875,68.06478190422058
20,-432,170,32,48,350.1875000447035,350.1875,59.67334392666817
21,-449,185,49,62,408.00390625,408.00390625,61.85445147752762
22,-435,185,35,59,332.7578125,332.7578125,60.296673864126205
23,-445,183,45,61,369.73046875,369.73046875,56.75774785876274
24,-434,170,34,47,348.31640625,348.31640625,49.67598573863506
25,-434,170,34,46,360.35546875,360.35546875,47.601238429546356
26,-439,176,39,53,330.5546875,330.5546875,47.30717173218727
27,-427,161,27,35,293.4140625,293.4140625,42.2560116648674
28,-436,170,36,48,369.37109375,369.37109375,42.11044770479202
29,-429,166,29,42,356.3192106112838,356.3203125,39.48607540130615
30,-421,158,21,33,301.207428149879,301.2109375,36.41897505521774
31,-415,156,15,27,328.6898507475853,328.69140625,35.26443149149418
32,-424,161,24,37,413.6442958712578,413.64453125,34.98413027822971
33,-434,170,34,46,355.1640625,355.1640625,35.87968862056732
34,-431,165,31,37,416.86328125,416.86328125,33.56294918060303
35,-414,153,14,22,349.0546875,349.0546875,29.833181217312813
36,-423,159,23,35,381.23046875,381.23046875,30.278431460261345
37,-422,159,22,31,330.8359375,330.8358910083771,29.422968581318855
38,-415,150,15,27,294.7265625,294.72651748359203,26.90361027419567
39,-429,163,29,36,336.921875,336.9215577021241,28.46130809932947
40,-423,157,23,28,364.12890625,364.1282869949937,27.529111206531525
41,-420,154,20,25,310.6328125,310.63052137196064,26.11926981806755
42,-419,153,19,26,294.5078125,294.5064287632704,25.41933561116457
43,-423,159,23,29,385.640625,385.64019440859556,25.514971770346165
44,-415,149,15,17,306.1796875,306.17679699510336,23.489510260522366
45,-409,147,9,20,308.66796875,308.6675022467971,22.525042466819286
46,-421,155,21,22,346.76953125,346.7675052732229,23.611098498106003
47,-427,161,27,33,378.80078125,378.7996128052473,23.91392983496189
48,-411,147,11,14,311.63671875,311.63546522706747,21.21134027093649
49,-418,152,18,22,302.55078125,302.5498378649354,21.841083638370037
50,-413,148,13,18,392.78125,392.7798356190324,20.58552798628807
51,-415,149,15,22,304.875,304.8726120814681,20.496991902589798
52,-411,146,11,17,254.5859375,254.58477710932493,19.4614849537611
53,-414,148,14,19,348.08984375,348.08769500255585,19.12985558062792
54,-417,152,17,23,329.73828125,329.7369670793414,20.233691714704037
55,-413,149,13,22,319.7109375,319.70983343571424,19.50415489077568
56,-414,149,14,21,375.9453125,375.94322534650564,18.91799546033144
57,-415,149,15,22,322.02734375,322.02522433549166,18.82929101586342
58,-415,151,15,19,394.18359375,394.1827449798584,19.137596733868122
59,-411,145,11,14,367.91015625,367.90930450707674,17.248211190104485
60,-411,147,11,15,358.34375,358.3429223522544,16.96565279737115
61,-404,141,4,13,291.73046875,291.7283137217164,15.425123549997807
62,-411,145,11,14,363.54296875,363.5424048528075,16.17931777983904
63,-409,144,9,11,322.78125,322.78010531514883,15.78356596827507
64,-409,143,9,11,347.06640625,347.0646236091852,14.246852565556765
65,-409,144,9,16,322.34765625,322.3455685302615,14.796307008713484
66,-410,144,10,14,365.69921875,365.69745703041553,14.611452382057905
67,-408,145,8,11,359.0390625,359.0376028083265,14.229593325406313
68,-412,146,12,13,374.30078125,374.29929549992085,13.23962539434433
69,-408,142,8,10,358.28515625,358.28440326824784,12.656106922775507
70,-406,140,6,9,379.8008363097906,379.7998189628124,12.47035775706172
71,-408,142,8,8,364.3046875,364.3031822182238,12.262088861316442
72,-409,144,9,14,373.24609375,373.24233680963516,12.088311858475208
73,-402,136,2,6,381.55078125,381.5458699464798,10.61788833886385
74,-407,142,7,11,375.7421875,375.7419233843684,11.103913228958845
75,-408,142,8,15,409.69921875,409.69751658663154,11.25502909719944
76,-406,141,6,10,399.99609375,399.995020005852,10.604234267026186
77,-405,139,5,10,365.2109375,365.20866726897657,10.185428759083152
78,-403,137,3,5,346.26953125,346.26855644211173,9.709491223096848
79,-405,139,5,7,364.76953125,364.7678032517433,9.25958220474422
80,-407,141,7,8,404.99609375,404.9947173111141,8.971966797485948
81,-407,142,7,9,349.05859375,349.05486138164997,8.849322719499469
82,-408,142,8,11,379.82421875,379.8210718482733,8.169602159410715
83,-409,144,9,11,389.02734375,389.0247677490115,8.116682082414627
84,-408,142,8,10,379.4296875,379.4289205297828,7.7093847235664725
85,-406,140,6,6,363.50390625,363.5007549505681,7.550131839700043
86,-402,136,2,2,356.96484375,356.96338010393083,7.637316221371293
87,-407,142,7,9,366.5,366.4993983078748,7.471641134470701
88,-405,139,5,7,394.1953125,394.1962688025087,6.845563765615225
89,-406,140,6,10,400.5859375,400.5851864311844,6.978616509586573
90,-407,141,7,7,356.84765625,356.8464772105217,6.7181225791573524
91,-403,137,3,5,355.96875,355.9669443126768,6.368630984798074
92,-404,138,4,5,371.4375,371.43799826316535,6.1053759921342134
93,-403,137,3,3,346.40625,346.40489950962365,5.802260431461036
94,-401,135,1,3,370.9609375,370.958223413676,5.501232676208019
95,-407,142,7,10,402.25390625,402.2492706477642,5.731829485855997
96,-405,139,5,8,389.66796875,389.66635347157717,5.518408165778965
97,-401,135,1,3,370.91796875,370.91679958067834,5.541952810250223
98,-403,137,3,4,333.140625,333.1381974834949,5.15084972884506
99,-405,139,5,6,367.62890625,367.6285906136036,4.944823247380555
