position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-591,372,191,266,33.19768484681845,31.72658172994852,157.19465976953506
1,-548,287,148,187,231.80832546949387,225.0606091916561,170.41750198602676
2,-529,263,129,162,305.3034127801657,289.0765729099512,147.3915030360222
3,-569,328,169,224,455.96948827803135,433.741138972342,170.7257310450077
4,-488,223,88,119,308.1029083430767,294.8226754516363,120.29543796181679
5,-471,207,71,96,267.27281038463116,253.72238159179688,107.24442926049232
6,-470,221,70,113,388.08957310020924,374.15269699692726,112.04686680436134
7,-488,226,88,112,394.0906168669462,380.3652852475643,111.87729153037071
8,-484,218,84,105,354.6916942894459,341.5817528516054,105.88576552271843
9,-465,212,65,98,327.4658423066139,315.11365880072117,98.68883147835732
10,-463,207,63,91,375.05295529961586,363.6787039935589,91.34132620692253
11,-453,190,53,75,301.91349582374096,292.10667123645544,78.51308199763298
12,-458,199,58,87,396.58204886317253,386.5421227067709,77.07523971796036
13,-448,193,48,76,303.9807558208704,294.5870767682791,69.8970595896244
14,-464,198,64,77,341.76562744379044,332.72703532129526,67.53594924509525
15,-449,186,49,68,307.89453125,299.2571484744549,59.402137756347656
16,-444,185,44,66,344.62890625,336.65351950377226,56.04680125415325
17,-447,181,47,61,327.8515625,319.9926073551178,52.01106823980808
18,-461,195,61,76,376.703125,368.318612575531,54.133742555975914
19,-440,180,40,65,363.61328125,356.4768633544445,48.127203568816185
20,-431,174,31,52,368.6328125,361.72695941478014,44.71473462879658
21,-423,166,23,44,357.2753491252661,351.66900357604027,40.565673500299454
22,-445,195,45,68,445.9522064179182,440.1752222776413,46.584223598241806
23,-423,173,23,54,363.66408693790436,358.60558059066534,40.64646637439728
24,-431,175,31,54,376.1601802036166,371.1332522928715,39.62216807901859
25,-433,169,33,49,324.8398559689522,320.1713101491332,37.50549301505089
26,-433,169,33,47,352.3125044852495,347.89430797845125,35.958974197506905
27,-439,174,39,47,358.49218751490116,354.50596112012863,36.58639843761921
28,-417,161,17,39,325.296875,321.8201580494642,33.08305861055851
29,-423,161,23,34,327.7578125,324.5508675649762,31.763933166861534
30,-432,166,32,37,337.54296875,334.32761327177286,32.914375841617584
31,-428,171,28,48,359.9921875,356.87242498248816,32.846404418349266
32,-429,166,29,40,381.05078125,377.64989887923,31.201189033687115
33,-419,155,19,24,300.7109375,297.9618374109268,28.86207851022482
34,-428,168,28,42,340.53515625,337.3756042793393,30.467228204011917
35,-429,164,29,37,329.6640625,326.84073793143034,28.939717411994934
36,-420,156,20,30,356.34765625,354.0704497396946,27.02138017117977
37,-423,157,23,27,387.39453125,385.1096047833562,25.916811399161816
38,-417,156,17,33,396.6796875,394.25522896647453,26.513467885553837
39,-417,153,17,26,312.07421875,309.64122895151377,25.907034642994404
40,-421,160,21,41,381.07421875,378.7366982996464,26.365744210779667
41,-419,154,19,25,274.07421875,271.86270456016064,25.673746936023235
42,-423,159,23,34,364.68359375,362.4428474381566,24.86758927255869
43,-417,151,17,24,354.60546875,352.6152695193887,24.34268268197775
