winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,165.52138328552246,6,6,0,5,6,1
1,DeathDescription.LIFETOTAL,11,154.77228164672852,4,5,3,6,6,1
1,DeathDescription.LIFETOTAL,11,159.7766876220703,3,5,4,6,5,2
0,DeathDescription.LIFETOTAL,10,149.22666549682617,6,6,0,5,5,2
1,DeathDescription.LIFETOTAL,11,162.11318969726562,6,4,2,4,7,2
0,DeathDescription.LIFETOTAL,10,146.073579788208,5,7,0,3,5,4
1,DeathDescription.LIFETOTAL,11,151.71265602111816,4,3,4,6,6,1
0,DeathDescription.LIFETOTAL,10,159.55877304077148,5,7,0,5,7,0
0,DeathDescription.LIFETOTAL,10,141.78061485290527,5,7,0,5,6,1
0,DeathDescription.LIFETOTAL,10,143.4624195098877,4,7,1,4,6,2
0,DeathDescription.LIFETOTAL,10,140.75136184692383,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,12,152.5871753692627,5,6,2,6,4,3
0,DeathDescription.LIFETOTAL,10,150.22683143615723,4,7,1,5,6,1
1,DeathDescription.LIFETOTAL,11,154.252290725708,5,6,1,6,5,2
0,DeathDescription.LIFETOTAL,12,195.6920623779297,4,8,1,6,6,1
1,DeathDescription.LIFETOTAL,11,157.03129768371582,6,5,1,6,7,0
1,DeathDescription.LIFETOTAL,13,194.2293643951416,7,4,2,3,6,5
1,DeathDescription.LIFETOTAL,11,156.1110019683838,6,3,3,3,7,3
0,DeathDescription.LIFETOTAL,10,163.8650894165039,5,7,0,5,5,2
0,DeathDescription.LIFETOTAL,10,143.88322830200195,5,7,0,5,4,3
0,DeathDescription.LIFETOTAL,10,151.3693332672119,5,7,0,5,6,1
0,DeathDescription.LIFETOTAL,10,146.71063423156738,5,6,1,5,6,1
1,DeathDescription.LIFETOTAL,11,143.06282997131348,6,3,3,4,7,2
0,DeathDescription.LIFETOTAL,10,145.3263759613037,5,7,0,4,4,4
0,DeathDescription.LIFETOTAL,10,150.54750442504883,5,6,1,4,7,1
0,DeathDescription.LIFETOTAL,10,160.7058048248291,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,149.07312393188477,5,7,0,4,5,3
0,DeathDescription.LIFETOTAL,10,143.46075057983398,6,4,2,2,6,4
1,DeathDescription.LIFETOTAL,11,148.03266525268555,4,4,4,5,8,0
0,DeathDescription.LIFETOTAL,10,165.66038131713867,6,5,1,3,5,4
0,DeathDescription.LIFETOTAL,10,150.53081512451172,6,3,3,5,6,1
0,DeathDescription.LIFETOTAL,10,159.1799259185791,6,6,0,5,6,1
0,DeathDescription.LIFETOTAL,10,155.5309295654297,6,5,1,3,5,4
0,DeathDescription.LIFETOTAL,12,172.53994941711426,5,7,1,6,6,1
0,DeathDescription.LIFETOTAL,10,159.45887565612793,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,10,167.44565963745117,6,5,1,4,7,1
0,DeathDescription.LIFETOTAL,12,162.16588020324707,7,5,1,6,6,1
0,DeathDescription.LIFETOTAL,10,152.9829502105713,6,4,2,5,4,3
0,DeathDescription.LIFETOTAL,10,164.07370567321777,3,7,2,5,6,1
0,DeathDescription.LIFETOTAL,10,147.60351181030273,4,5,3,3,5,4
0,DeathDescription.LIFETOTAL,10,151.16429328918457,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,152.48680114746094,5,7,0,4,6,2
0,DeathDescription.LIFETOTAL,12,172.6527214050293,7,6,0,6,5,2
0,DeathDescription.LIFETOTAL,10,136.6250514984131,4,7,1,5,4,3
1,DeathDescription.LIFETOTAL,11,153.00488471984863,2,2,6,6,7,0
0,DeathDescription.LIFETOTAL,10,155.7915210723877,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,167.98877716064453,4,7,1,5,3,4
0,DeathDescription.LIFETOTAL,10,162.10365295410156,5,6,1,5,5,2
1,DeathDescription.LIFETOTAL,11,158.41054916381836,6,5,1,6,3,4
0,DeathDescription.LIFETOTAL,10,165.15731811523438,6,6,0,4,7,1
1,DeathDescription.LIFETOTAL,11,160.34460067749023,5,6,1,5,6,2
0,DeathDescription.LIFETOTAL,10,153.74398231506348,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,12,187.27397918701172,6,6,1,6,6,1
0,DeathDescription.LIFETOTAL,10,160.3076457977295,6,5,1,5,6,1
0,DeathDescription.LIFETOTAL,10,160.28118133544922,6,6,0,4,6,2
1,DeathDescription.LIFETOTAL,11,164.75176811218262,6,5,1,5,7,1
1,DeathDescription.LIFETOTAL,13,195.35398483276367,7,4,2,7,6,1
0,DeathDescription.LIFETOTAL,10,159.68036651611328,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,174.18789863586426,6,6,0,4,6,2
0,DeathDescription.LIFETOTAL,10,142.93503761291504,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,130.26738166809082,5,6,1,5,3,4
0,DeathDescription.LIFETOTAL,10,142.2412395477295,5,6,1,5,4,3
