winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,59.20553207397461,6,5,1,4,2,5
0,DeathDescription.LIFETOTAL,10,41.53299331665039,5,4,3,5,2,5
1,DeathDescription.LIFETOTAL,11,38.773536682128906,6,2,4,6,5,2
0,DeathDescription.LIFETOTAL,10,45.365095138549805,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,35.99143028259277,6,4,2,5,3,4
1,DeathDescription.LIFETOTAL,11,37.059783935546875,3,1,6,6,5,2
0,DeathDescription.LIFETOTAL,10,39.35980796813965,5,6,1,4,3,5
0,DeathDescription.LIFETOTAL,10,34.14297103881836,6,5,1,5,3,4
1,DeathDescription.LIFETOTAL,11,44.46554183959961,6,3,3,4,5,4
0,DeathDescription.LIFETOTAL,12,39.877891540527344,6,6,1,6,5,2
0,DeathDescription.LIFETOTAL,10,39.78466987609863,5,5,2,4,3,5
0,DeathDescription.LIFETOTAL,10,37.14776039123535,5,4,3,5,3,4
0,DeathDescription.LIFETOTAL,10,26.149988174438477,6,6,0,4,1,6
1,DeathDescription.LIFETOTAL,13,35.44211387634277,7,3,3,4,5,4
0,DeathDescription.LIFETOTAL,10,29.300689697265625,3,5,4,5,3,4
0,DeathDescription.LIFETOTAL,10,28.357982635498047,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,31.55970573425293,5,4,3,5,4,3
0,DeathDescription.LIFETOTAL,10,45.745849609375,6,5,1,5,1,6
0,DeathDescription.LIFETOTAL,10,41.85032844543457,4,5,3,5,2,5
1,DeathDescription.LIFETOTAL,11,35.737037658691406,2,3,7,6,5,2
0,DeathDescription.LIFETOTAL,10,39.29328918457031,5,5,2,5,0,7
0,DeathDescription.LIFETOTAL,10,42.66238212585449,5,5,2,5,3,4
1,DeathDescription.LIFETOTAL,11,49.12114143371582,4,4,4,6,6,1
0,DeathDescription.LIFETOTAL,10,35.82620620727539,5,5,2,5,3,4
1,DeathDescription.LIFETOTAL,11,40.65966606140137,6,4,2,4,6,3
1,DeathDescription.LIFETOTAL,11,25.17414093017578,3,3,5,6,4,3
0,DeathDescription.LIFETOTAL,10,30.762672424316406,6,5,1,5,4,3
1,DeathDescription.LIFETOTAL,11,39.02459144592285,2,0,7,6,5,2
0,DeathDescription.LIFETOTAL,12,45.236825942993164,7,6,0,6,5,2
0,DeathDescription.LIFETOTAL,12,46.373844146728516,5,7,1,5,0,7
0,DeathDescription.LIFETOTAL,12,46.42796516418457,5,8,0,5,4,4
0,DeathDescription.LIFETOTAL,10,44.82555389404297,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,14,43.67470741271973,8,6,0,7,4,3
0,DeathDescription.LIFETOTAL,10,32.736778259277344,5,6,1,5,1,6
0,DeathDescription.LIFETOTAL,10,52.06418037414551,6,5,1,4,3,5
0,DeathDescription.LIFETOTAL,10,50.551652908325195,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,29.962778091430664,4,5,3,5,3,4
1,DeathDescription.LIFETOTAL,11,44.21854019165039,4,2,6,6,5,2
0,DeathDescription.LIFETOTAL,10,25.46072006225586,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,33.125877380371094,6,5,1,1,0,7
0,DeathDescription.LIFETOTAL,10,39.08991813659668,6,4,2,5,4,3
0,DeathDescription.LIFETOTAL,10,52.27231979370117,6,4,2,5,5,2
1,DeathDescription.LIFETOTAL,11,35.996437072753906,6,4,2,6,4,3
0,DeathDescription.LIFETOTAL,12,51.80692672729492,6,5,2,6,3,4
1,DeathDescription.LIFETOTAL,11,31.13865852355957,6,3,3,6,4,3
0,DeathDescription.LIFETOTAL,10,55.930137634277344,6,4,2,5,3,4
0,DeathDescription.LIFETOTAL,12,61.754703521728516,7,5,1,6,4,3
0,DeathDescription.LIFETOTAL,10,30.05242347717285,5,4,3,4,3,5
0,DeathDescription.LIFETOTAL,10,57.630300521850586,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,59.274911880493164,6,5,1,5,3,4
1,DeathDescription.LIFETOTAL,11,44.625043869018555,6,4,2,4,5,4
1,DeathDescription.LIFETOTAL,13,33.04123878479004,4,2,5,5,5,4
1,DeathDescription.LIFETOTAL,13,51.29551887512207,6,3,4,5,4,5
1,DeathDescription.LIFETOTAL,11,47.45054244995117,5,3,4,5,6,2
1,DeathDescription.LIFETOTAL,11,47.42789268493652,4,4,4,5,6,2
0,DeathDescription.LIFETOTAL,10,47.6529598236084,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,48.05874824523926,6,6,0,5,4,3
0,DeathDescription.LIFETOTAL,10,29.07705307006836,5,5,2,3,2,6
0,DeathDescription.LIFETOTAL,12,30.421972274780273,7,4,2,3,4,5
0,DeathDescription.LIFETOTAL,10,29.9224853515625,4,5,3,4,3,5
0,DeathDescription.LIFETOTAL,10,33.774375915527344,6,5,1,4,2,6
0,DeathDescription.LIFETOTAL,10,31.367063522338867,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,10,37.59431838989258,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,50.8420467376709,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,52.05059051513672,6,6,0,5,4,3
0,DeathDescription.LIFETOTAL,10,50.367116928100586,3,5,4,5,3,4
0,DeathDescription.LIFETOTAL,12,51.702022552490234,7,5,1,6,4,3
0,DeathDescription.LIFETOTAL,10,46.44155502319336,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,12,31.55994415283203,7,4,2,6,4,3
0,DeathDescription.LIFETOTAL,10,29.604196548461914,6,4,2,5,2,5
0,DeathDescription.LIFETOTAL,10,46.62895202636719,6,5,1,5,2,5
1,DeathDescription.LIFETOTAL,11,53.63583564758301,6,4,2,6,6,1
1,DeathDescription.LIFETOTAL,13,46.15426063537598,6,3,4,7,5,2
1,DeathDescription.LIFETOTAL,11,42.46091842651367,4,4,4,6,5,2
0,DeathDescription.LIFETOTAL,10,38.15579414367676,3,4,5,4,0,7
1,DeathDescription.LIFETOTAL,11,25.7875919342041,3,0,7,5,5,3
0,DeathDescription.LIFETOTAL,14,50.56285858154297,8,6,0,5,2,5
1,DeathDescription.LIFETOTAL,11,45.39752006530762,3,4,5,6,5,2
0,DeathDescription.LIFETOTAL,10,49.55005645751953,4,5,3,5,3,4
1,DeathDescription.LIFETOTAL,11,31.71086311340332,3,4,5,6,5,2
0,DeathDescription.LIFETOTAL,10,43.25556755065918,5,5,2,4,4,4
1,DeathDescription.LIFETOTAL,11,30.328035354614258,3,0,7,6,5,2
0,DeathDescription.LIFETOTAL,10,24.54233169555664,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,45.67146301269531,5,4,3,5,4,3
0,DeathDescription.LIFETOTAL,12,43.302059173583984,5,4,4,6,4,3
1,DeathDescription.LIFETOTAL,11,55.99260330200195,5,4,3,6,5,2
1,DeathDescription.LIFETOTAL,11,46.46921157836914,6,3,3,4,5,4
1,DeathDescription.LIFETOTAL,11,44.148921966552734,5,3,4,6,5,2
0,DeathDescription.LIFETOTAL,12,32.80973434448242,5,5,3,5,5,3
0,DeathDescription.LIFETOTAL,10,30.89451789855957,6,5,1,4,4,4
1,DeathDescription.LIFETOTAL,11,45.14288902282715,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,12,34.1944694519043,4,5,4,5,3,4
1,DeathDescription.LIFETOTAL,11,31.598806381225586,2,2,7,6,5,2
1,DeathDescription.LIFETOTAL,13,52.96158790588379,7,4,2,5,5,4
0,DeathDescription.LIFETOTAL,10,45.166969299316406,6,6,0,5,4,3
0,DeathDescription.LIFETOTAL,10,40.902137756347656,4,6,2,5,3,4
0,DeathDescription.LIFETOTAL,12,65.69528579711914,4,6,3,2,0,7
0,DeathDescription.LIFETOTAL,10,37.371158599853516,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,32.20558166503906,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,39.73889350891113,6,5,1,4,4,4
