position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,303,260,97,151,16.618046052753925,25.943161137402058,86.13477391004562
1,300,268,100,159,324.80902990698814,342.98222230374813,158.1813473701477
2,319,217,81,106,331.7909720093012,344.69277234375477,122.3095093369484
3,298,242,102,131,341.3452976420522,356.585794493556,129.84747713804245
4,297,260,103,140,392.1026615649462,411.6818785071373,134.0742091536522
5,314,231,86,119,380.89073972404003,393.81897860765457,118.29770395159721
6,322,232,78,122,387.50769209861755,396.2019694149494,117.72684422135353
7,304,237,96,123,394.8692086786032,400.5368600487709,120.071149289608
8,325,217,75,105,358.92054979503155,362.74059166014194,108.25522977113724
9,320,220,80,107,397.1099752187729,399.8625309765339,106.30830451846123
10,341,204,59,85,392.02579832077026,393.8440587222576,94.87713637948036
11,339,209,61,92,389.58805651962757,390.5264552384615,93.87940403819084
12,346,190,54,72,336.2970824241638,336.736847743392,81.55163568258286
13,342,194,58,70,408.58074010908604,409.0598475039005,80.39700946211815
14,350,189,50,68,354.29016368091106,354.72816675156355,74.55192917585373
15,341,208,59,89,357.46700114011765,357.75095070153475,77.27356806397438
16,351,191,49,76,384.3559163361788,384.6262828037143,67.021743029356
17,350,192,50,70,394.127995505929,394.3351253271103,64.19026470184326
18,359,185,41,67,382.86167795211077,382.9897960051894,58.994878977537155
19,339,203,61,79,392.2536318898201,392.2697242349386,60.98466108739376
20,336,201,64,78,397.75695329904556,397.8584069535136,55.75821986794472
21,366,172,34,44,318.3498471751809,318.3932288363576,44.389808639883995
22,360,179,40,57,371.75111831724644,371.8666415438056,44.08641055226326
23,350,186,50,60,369.3910327553749,369.5082885697484,43.371022284030914
24,357,182,43,59,328.2652247995138,328.362788207829,40.99880248308182
25,361,192,39,70,385.19067338109016,385.29806722700596,41.82412077486515
26,369,167,31,45,390.6321091875434,390.79568783193827,35.368540704250336
27,373,178,27,52,336.0681418478489,336.1353895589709,36.747132048010826
28,363,177,37,49,401.63450180739164,401.6398150548339,35.838302075862885
29,361,178,39,50,385.17256382107735,385.3266006857157,34.139046512544155
30,353,183,47,57,442.060136154294,442.2628951445222,35.49840398132801
